,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.289999999999999,vasil_vasil.png,vasil_justin.png,misaligned_same,True
1,13-test-trial-2,different,2.2,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
2,14-test-trial-3,same,3.2,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
3,15-test-trial-4,same,2.9999999999999996,maxim_maxim.png,maxim_josef.png,misaligned_same,True
4,16-test-trial-5,different,15.799999999999999,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
5,17-test-trial-6,different,6.9,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
6,18-test-trial-7,same,2.3000000000000003,viola_peggy.png,peggy_viola.png,misaligned_different,False
7,19-test-trial-8,same,13.4,linda_jindriska.png,linda_linda.png,aligned_same,True
8,20-test-trial-9,same,0.7000000000000002,miriama_livia.png,miriama_miriama.png,misaligned_same,True
9,21-test-trial-10,different,5.5,saskie_milota.png,milota_saskie.png,aligned_different,True
10,22-test-trial-11,different,16.299999999999997,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
11,23-test-trial-12,different,2.6100000000000003,ursula_sidonia.png,ursula_ursula.png,misaligned_same,False
12,24-test-trial-13,different,3.9000000000000004,justin_vasil.png,justin_justin.png,aligned_same,False
13,25-test-trial-14,different,11.700000000000001,carol_brenda.png,brenda_carol.png,aligned_different,True
14,26-test-trial-15,same,1.2999999999999998,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
15,27-test-trial-16,same,23.9,josef_maxim.png,josef_josef.png,aligned_same,True
16,28-test-trial-17,different,5.9,aurel_cenek.png,cenek_aurel.png,aligned_different,True
17,29-test-trial-18,same,1.4,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
18,30-test-trial-19,same,2.6,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
19,31-test-trial-20,same,1.9999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
20,32-test-trial-21,different,2.0999999999999996,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
21,33-test-trial-22,same,1.3000000000000003,bernard_rehor.png,rehor_bernard.png,misaligned_different,False
22,34-test-trial-23,same,4.8,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
23,35-test-trial-24,same,1.5999999999999996,elias_prokop.png,prokop_elias.png,misaligned_different,False
24,36-test-trial-25,same,1.1,edita_debra.png,debra_edita.png,misaligned_different,False
25,37-test-trial-26,same,20.9,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
26,38-test-trial-27,same,15.7,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,False
27,39-test-trial-28,different,17.099999999999998,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
28,40-test-trial-29,same,14.899999999999999,perla_perla.png,perla_viktoria.png,misaligned_same,True
29,41-test-trial-30,different,28.11,elena_eleanora.png,elena_elena.png,misaligned_same,False
30,42-test-trial-31,same,30.9,stela_lea.png,lea_stela.png,misaligned_different,False
31,43-test-trial-32,same,2.6999999999999997,vladena_margita.png,margita_vladena.png,aligned_different,False
32,44-test-trial-33,same,14.2,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
33,45-test-trial-34,same,24.4,livia_livia.png,livia_miriama.png,aligned_same,True
34,46-test-trial-35,different,7.290000000000001,dominik_hynek.png,dominik_dominik.png,aligned_same,False
35,47-test-trial-36,different,15.399999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
