,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,8.299999999999999,viola_peggy.png,viola_viola.png,aligned_same,True
1,13-test-trial-2,same,9.5,viktoria_perla.png,perla_viktoria.png,aligned_different,False
2,14-test-trial-3,different,1.9999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
3,15-test-trial-4,same,1.6,josef_maxim.png,josef_josef.png,misaligned_same,True
4,16-test-trial-5,same,1.0,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
5,17-test-trial-6,same,0.7999999999999998,stela_lea.png,stela_stela.png,misaligned_same,True
6,18-test-trial-7,same,4.199999999999999,elena_eleanora.png,eleanora_elena.png,aligned_different,False
7,19-test-trial-8,same,7.5,hynek_hynek.png,hynek_dominik.png,aligned_same,True
8,20-test-trial-9,same,5.700000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
9,21-test-trial-10,same,0.7999999999999998,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
10,22-test-trial-11,different,8.4,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
11,23-test-trial-12,same,5.4,bernard_rehor.png,bernard_bernard.png,aligned_same,True
12,24-test-trial-13,same,6.200000000000001,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
13,25-test-trial-14,different,5.6,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
14,26-test-trial-15,same,0.6999999999999997,milota_milota.png,milota_saskie.png,aligned_same,True
15,27-test-trial-16,same,6.9,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
16,28-test-trial-17,same,4.800000000000001,elias_prokop.png,elias_elias.png,misaligned_same,True
17,29-test-trial-18,same,1.8000000000000003,livia_livia.png,livia_miriama.png,aligned_same,True
18,30-test-trial-19,same,2.4999999999999996,lea_lea.png,lea_stela.png,aligned_same,True
19,31-test-trial-20,different,2.9999999999999996,edita_debra.png,debra_edita.png,misaligned_different,True
20,32-test-trial-21,same,8.7,maxim_maxim.png,maxim_josef.png,aligned_same,True
21,33-test-trial-22,same,5.199999999999999,peggy_peggy.png,peggy_viola.png,misaligned_same,True
22,34-test-trial-23,same,10.9,margita_margita.png,margita_vladena.png,misaligned_same,True
23,35-test-trial-24,same,2.6,saskie_milota.png,saskie_saskie.png,misaligned_same,True
24,36-test-trial-25,different,1.4999999999999996,carol_brenda.png,brenda_carol.png,aligned_different,True
25,37-test-trial-26,different,0.6000000000000001,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
26,38-test-trial-27,different,1.1999999999999997,prokop_prokop.png,prokop_elias.png,aligned_same,False
27,39-test-trial-28,same,0.2999999999999998,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
28,40-test-trial-29,same,4.300000000000001,miriama_livia.png,miriama_miriama.png,misaligned_same,True
29,41-test-trial-30,same,8.200000000000001,aurel_cenek.png,aurel_aurel.png,aligned_same,True
30,42-test-trial-31,different,0.09999999999999964,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
31,43-test-trial-32,different,1.4,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
32,44-test-trial-33,same,1.6,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
33,45-test-trial-34,same,1.6,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,False
34,46-test-trial-35,same,2.4999999999999996,vladena_margita.png,vladena_vladena.png,aligned_same,True
35,47-test-trial-36,different,1.4,justin_vasil.png,vasil_justin.png,misaligned_different,True
