,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,6.4,edita_debra.png,edita_edita.png,aligned_same,False
1,13-test-trial-2,different,2.6999999999999997,justin_vasil.png,vasil_justin.png,misaligned_different,True
2,14-test-trial-3,same,3.3,brenda_brenda.png,brenda_carol.png,aligned_same,True
3,15-test-trial-4,same,3.4999999999999996,milota_milota.png,milota_saskie.png,aligned_same,True
4,16-test-trial-5,same,8.3,debra_debra.png,debra_edita.png,misaligned_same,True
5,17-test-trial-6,same,8.7,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
6,18-test-trial-7,different,3.9999999999999996,elena_eleanora.png,eleanora_elena.png,aligned_different,True
7,19-test-trial-8,different,2.2,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
8,20-test-trial-9,different,2.1999999999999997,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
9,21-test-trial-10,same,2.8,maxim_maxim.png,maxim_josef.png,misaligned_same,True
10,22-test-trial-11,same,5.800000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
11,23-test-trial-12,different,3.8000000000000003,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
12,24-test-trial-13,same,8.5,elias_prokop.png,elias_elias.png,aligned_same,True
13,25-test-trial-14,different,0.19999999999999973,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
14,26-test-trial-15,different,1.1999999999999997,vladena_margita.png,margita_vladena.png,misaligned_different,True
15,27-test-trial-16,different,4.5,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
16,28-test-trial-17,different,2.6999999999999997,bernard_rehor.png,rehor_bernard.png,aligned_different,True
17,29-test-trial-18,different,3.4,viola_peggy.png,peggy_viola.png,aligned_different,True
18,30-test-trial-19,same,6.300000000000001,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
19,31-test-trial-20,different,2.3999999999999995,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
20,32-test-trial-21,same,3.6000000000000005,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
21,33-test-trial-22,same,4.800000000000001,lea_lea.png,lea_stela.png,misaligned_same,True
22,34-test-trial-23,same,1.2999999999999998,perla_perla.png,perla_viktoria.png,misaligned_same,True
23,35-test-trial-24,different,1.1999999999999997,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
24,36-test-trial-25,different,4.1,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
25,37-test-trial-26,different,0.6999999999999997,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
26,38-test-trial-27,different,3.4999999999999996,prokop_prokop.png,prokop_elias.png,misaligned_same,False
27,39-test-trial-28,same,3.5,stela_lea.png,stela_stela.png,aligned_same,True
28,40-test-trial-29,same,3.6999999999999997,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
29,41-test-trial-30,same,11.9,livia_livia.png,livia_miriama.png,aligned_same,True
30,42-test-trial-31,same,1.0,miriama_livia.png,miriama_miriama.png,misaligned_same,True
31,43-test-trial-32,same,6.200000000000001,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
32,44-test-trial-33,same,4.6,carol_brenda.png,carol_carol.png,misaligned_same,True
33,45-test-trial-34,same,11.6,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
34,46-test-trial-35,same,6.6,saskie_milota.png,saskie_saskie.png,misaligned_same,True
35,47-test-trial-36,same,6.6000000000000005,josef_maxim.png,josef_josef.png,aligned_same,True
