,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.09999999999999964,stela_lea.png,stela_stela.png,misaligned_same,True
1,13-test-trial-2,same,2.4000000000000004,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
2,14-test-trial-3,same,1.4,edita_debra.png,edita_edita.png,misaligned_same,True
3,15-test-trial-4,same,3.7,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
4,16-test-trial-5,same,2.9000000000000004,miriama_livia.png,miriama_miriama.png,misaligned_same,True
5,17-test-trial-6,same,0.20000000000000018,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
6,18-test-trial-7,different,6.4,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
7,19-test-trial-8,different,0.5,elena_eleanora.png,eleanora_elena.png,aligned_different,True
8,20-test-trial-9,same,2.0,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
9,21-test-trial-10,same,0.8999999999999999,brenda_brenda.png,brenda_carol.png,misaligned_same,True
10,22-test-trial-11,same,0.09999999999999964,milota_milota.png,milota_saskie.png,aligned_same,True
11,23-test-trial-12,same,1.2000000000000002,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
12,24-test-trial-13,same,10.3,carol_brenda.png,carol_carol.png,aligned_same,True
13,25-test-trial-14,same,10.7,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
14,26-test-trial-15,same,0.8999999999999999,lea_lea.png,lea_stela.png,aligned_same,True
15,27-test-trial-16,different,4.8,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
16,28-test-trial-17,different,11.3,aurel_cenek.png,cenek_aurel.png,aligned_different,True
17,29-test-trial-18,same,4.6,maxim_maxim.png,maxim_josef.png,misaligned_same,True
18,30-test-trial-19,same,2.0,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
19,31-test-trial-20,same,6.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
20,32-test-trial-21,same,1.5999999999999996,josef_maxim.png,josef_josef.png,aligned_same,True
21,33-test-trial-22,different,19.9,justin_vasil.png,vasil_justin.png,misaligned_different,True
22,34-test-trial-23,same,1.9000000000000004,elias_prokop.png,elias_elias.png,misaligned_same,True
23,35-test-trial-24,different,4.0,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
24,36-test-trial-25,same,4.3,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
25,37-test-trial-26,different,3.4000000000000004,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
26,38-test-trial-27,same,1.4,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
27,39-test-trial-28,same,2.3,prokop_prokop.png,prokop_elias.png,aligned_same,True
28,40-test-trial-29,different,2.5999999999999996,bernard_rehor.png,rehor_bernard.png,aligned_different,True
29,41-test-trial-30,different,3.0,viola_peggy.png,peggy_viola.png,aligned_different,True
30,42-test-trial-31,same,0.5999999999999996,saskie_milota.png,saskie_saskie.png,misaligned_same,True
31,43-test-trial-32,same,2.3,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
32,44-test-trial-33,different,2.0999999999999996,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
33,45-test-trial-34,same,1.7000000000000002,debra_debra.png,debra_edita.png,aligned_same,True
34,46-test-trial-35,same,5.9,livia_livia.png,livia_miriama.png,aligned_same,True
35,47-test-trial-36,different,2.0999999999999996,vladena_margita.png,margita_vladena.png,aligned_different,True
