,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.199999999999999,edita_debra.png,debra_edita.png,aligned_different,False
1,13-test-trial-2,same,1.7000000000000002,josef_maxim.png,josef_josef.png,aligned_same,True
2,14-test-trial-3,same,5.800000000000001,brenda_brenda.png,brenda_carol.png,aligned_same,True
3,15-test-trial-4,different,3.0,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
4,16-test-trial-5,different,2.1999999999999997,vladena_margita.png,vladena_vladena.png,aligned_same,False
5,17-test-trial-6,different,3.0000000000000004,peggy_peggy.png,peggy_viola.png,aligned_same,False
6,18-test-trial-7,same,3.0999999999999996,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
7,19-test-trial-8,different,2.1,saskie_milota.png,saskie_saskie.png,aligned_same,False
8,20-test-trial-9,different,1.9,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
9,21-test-trial-10,different,2.0,bernard_rehor.png,bernard_bernard.png,aligned_same,False
10,22-test-trial-11,different,2.3,carol_brenda.png,carol_carol.png,misaligned_same,False
11,23-test-trial-12,same,2.5000000000000004,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
12,24-test-trial-13,same,1.5,livia_livia.png,livia_miriama.png,misaligned_same,True
13,25-test-trial-14,same,1.5,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
14,26-test-trial-15,same,1.7999999999999998,justin_vasil.png,vasil_justin.png,misaligned_different,False
15,27-test-trial-16,different,1.5999999999999996,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
16,28-test-trial-17,different,3.0000000000000004,prokop_prokop.png,prokop_elias.png,aligned_same,False
17,29-test-trial-18,different,1.9999999999999996,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
18,30-test-trial-19,different,1.3000000000000003,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
19,31-test-trial-20,different,1.5,milota_milota.png,milota_saskie.png,misaligned_same,False
20,32-test-trial-21,same,2.6,margita_margita.png,margita_vladena.png,misaligned_same,True
21,33-test-trial-22,same,3.1,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
22,34-test-trial-23,same,2.0,elias_prokop.png,elias_elias.png,misaligned_same,True
23,35-test-trial-24,same,2.4,viktoria_perla.png,perla_viktoria.png,aligned_different,False
24,36-test-trial-25,same,3.4,viola_peggy.png,viola_viola.png,misaligned_same,True
25,37-test-trial-26,same,2.6999999999999997,lea_lea.png,lea_stela.png,aligned_same,True
26,38-test-trial-27,same,2.1999999999999997,miriama_livia.png,miriama_miriama.png,aligned_same,True
27,39-test-trial-28,different,1.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,False
28,40-test-trial-29,same,3.0000000000000004,oleg_tichomir.png,tichomir_oleg.png,aligned_different,False
29,41-test-trial-30,same,2.3000000000000003,cenek_cenek.png,cenek_aurel.png,aligned_same,True
30,42-test-trial-31,same,1.8000000000000003,stela_lea.png,stela_stela.png,misaligned_same,True
31,43-test-trial-32,different,2.1999999999999997,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
32,44-test-trial-33,same,2.1,dominik_hynek.png,hynek_dominik.png,aligned_different,False
33,45-test-trial-34,different,3.7,maxim_maxim.png,maxim_josef.png,misaligned_same,False
34,46-test-trial-35,different,2.1999999999999997,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
35,47-test-trial-36,different,0.8000000000000003,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
