,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,6.1,miriama_livia.png,miriama_miriama.png,aligned_same,False
1,13-test-trial-2,different,1.0,viktoria_perla.png,perla_viktoria.png,aligned_different,True
2,14-test-trial-3,different,4.1,hynek_hynek.png,hynek_dominik.png,misaligned_same,False
3,15-test-trial-4,same,6.4,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
4,16-test-trial-5,same,3.6,josef_maxim.png,josef_josef.png,misaligned_same,True
5,17-test-trial-6,same,3.1999999999999997,maxim_maxim.png,maxim_josef.png,aligned_same,True
6,18-test-trial-7,same,1.7000000000000002,livia_livia.png,livia_miriama.png,misaligned_same,True
7,19-test-trial-8,different,4.1,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
8,20-test-trial-9,different,12.1,linda_jindriska.png,jindriska_linda.png,aligned_different,True
9,21-test-trial-10,same,3.9000000000000004,carol_brenda.png,carol_carol.png,misaligned_same,True
10,22-test-trial-11,same,0.8000000000000003,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
11,23-test-trial-12,same,0.3999999999999999,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
12,24-test-trial-13,same,1.6099999999999999,brenda_brenda.png,brenda_carol.png,aligned_same,True
13,25-test-trial-14,different,1.9999999999999996,elias_prokop.png,prokop_elias.png,misaligned_different,True
14,26-test-trial-15,different,8.6,margita_margita.png,margita_vladena.png,aligned_same,False
15,27-test-trial-16,different,0.8999999999999999,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
16,28-test-trial-17,same,1.2000000000000002,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
17,29-test-trial-18,same,0.5099999999999998,edita_debra.png,edita_edita.png,misaligned_same,True
18,30-test-trial-19,same,0.10000000000000009,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
19,31-test-trial-20,different,6.199999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,True
20,32-test-trial-21,same,5.2,rehor_rehor.png,rehor_bernard.png,aligned_same,True
21,33-test-trial-22,different,5.6,stela_lea.png,lea_stela.png,misaligned_different,True
22,34-test-trial-23,different,1.7000000000000002,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
23,35-test-trial-24,same,2.4999999999999996,debra_debra.png,debra_edita.png,aligned_same,True
24,36-test-trial-25,same,0.6000000000000001,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
25,37-test-trial-26,same,6.199999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
26,38-test-trial-27,same,11.09,dominik_hynek.png,dominik_dominik.png,aligned_same,True
27,39-test-trial-28,same,3.6999999999999997,viola_peggy.png,viola_viola.png,aligned_same,True
28,40-test-trial-29,same,1.6,peggy_peggy.png,peggy_viola.png,misaligned_same,True
29,41-test-trial-30,same,1.5,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
30,42-test-trial-31,different,2.9,aurel_cenek.png,aurel_aurel.png,aligned_same,False
31,43-test-trial-32,different,1.6,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
32,44-test-trial-33,different,5.6,justin_vasil.png,vasil_justin.png,aligned_different,True
33,45-test-trial-34,same,0.5,vladena_margita.png,vladena_vladena.png,misaligned_same,True
34,46-test-trial-35,different,4.59,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
35,47-test-trial-36,different,6.5,saskie_milota.png,milota_saskie.png,aligned_different,True
