,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,56.1,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
1,13-test-trial-2,same,10.6,stela_lea.png,stela_stela.png,misaligned_same,True
2,14-test-trial-3,same,12.0,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
3,15-test-trial-4,different,12.2,josef_maxim.png,maxim_josef.png,aligned_different,True
4,16-test-trial-5,same,8.9,vasil_vasil.png,vasil_justin.png,misaligned_same,True
5,17-test-trial-6,different,5.800000000000001,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
6,18-test-trial-7,same,11.7,prokop_prokop.png,prokop_elias.png,misaligned_same,True
7,19-test-trial-8,same,12.9,lea_lea.png,lea_stela.png,aligned_same,True
8,20-test-trial-9,same,8.299999999999999,peggy_peggy.png,peggy_viola.png,misaligned_same,True
9,21-test-trial-10,different,3.5000000000000004,miriama_livia.png,livia_miriama.png,aligned_different,True
10,22-test-trial-11,same,3.7,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
11,23-test-trial-12,different,4.199999999999999,vladena_margita.png,margita_vladena.png,misaligned_different,True
12,24-test-trial-13,same,2.4,elias_prokop.png,elias_elias.png,aligned_same,True
13,25-test-trial-14,same,2.4999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
14,26-test-trial-15,different,1.4,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
15,27-test-trial-16,same,2.2,elena_eleanora.png,elena_elena.png,aligned_same,True
16,28-test-trial-17,same,3.6,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
17,29-test-trial-18,different,2.5000000000000004,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
18,30-test-trial-19,different,8.1,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
19,31-test-trial-20,different,4.300000000000001,saskie_milota.png,milota_saskie.png,aligned_different,True
20,32-test-trial-21,same,2.6,viola_peggy.png,viola_viola.png,aligned_same,True
21,33-test-trial-22,different,1.5,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
22,34-test-trial-23,same,8.299999999999999,justin_vasil.png,justin_justin.png,aligned_same,True
23,35-test-trial-24,same,5.699999999999999,perla_perla.png,perla_viktoria.png,misaligned_same,True
24,36-test-trial-25,same,3.4,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
25,37-test-trial-26,same,2.6,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
26,38-test-trial-27,same,2.1,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
27,39-test-trial-28,different,1.6,edita_debra.png,debra_edita.png,aligned_different,True
28,40-test-trial-29,same,1.9999999999999996,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
29,41-test-trial-30,same,5.3,linda_jindriska.png,linda_linda.png,misaligned_same,True
30,42-test-trial-31,different,6.1,carol_brenda.png,brenda_carol.png,misaligned_different,True
31,43-test-trial-32,different,11.2,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
32,44-test-trial-33,same,2.5000000000000004,bernard_rehor.png,bernard_bernard.png,aligned_same,True
33,45-test-trial-34,different,2.4,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
34,46-test-trial-35,different,2.6,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
35,47-test-trial-36,different,3.1,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
