,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,8.38,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
1,13-test-trial-2,same,9.581,vasil_vasil.png,vasil_justin.png,misaligned_same,True
2,14-test-trial-3,same,5.463,livia_livia.png,livia_miriama.png,misaligned_same,True
3,15-test-trial-4,same,9.647,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
4,16-test-trial-5,different,6.539,carol_brenda.png,brenda_carol.png,misaligned_different,True
5,17-test-trial-6,same,5.994,vladena_margita.png,vladena_vladena.png,aligned_same,True
6,18-test-trial-7,same,8.664,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
7,19-test-trial-8,same,7.913,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
8,20-test-trial-9,same,9.26,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
9,21-test-trial-10,same,5.308,margita_margita.png,margita_vladena.png,misaligned_same,True
10,22-test-trial-11,same,5.78,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
11,23-test-trial-12,same,5.898,linda_jindriska.png,linda_linda.png,aligned_same,True
12,24-test-trial-13,different,10.914,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
13,25-test-trial-14,different,7.303,elena_eleanora.png,eleanora_elena.png,aligned_different,True
14,26-test-trial-15,same,7.092,josef_maxim.png,josef_josef.png,aligned_same,True
15,27-test-trial-16,same,5.832,maxim_maxim.png,maxim_josef.png,misaligned_same,True
16,28-test-trial-17,same,7.757,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
17,29-test-trial-18,different,7.843,edita_debra.png,debra_edita.png,aligned_different,True
18,30-test-trial-19,different,5.144,justin_vasil.png,justin_justin.png,aligned_same,False
19,31-test-trial-20,different,11.997,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
20,32-test-trial-21,different,9.114,elias_prokop.png,prokop_elias.png,aligned_different,True
21,33-test-trial-22,same,6.271,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
22,34-test-trial-23,different,6.697,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
23,35-test-trial-24,same,6.535,perla_perla.png,perla_viktoria.png,misaligned_same,True
24,36-test-trial-25,same,7.767,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
25,37-test-trial-26,different,4.873,stela_lea.png,lea_stela.png,aligned_different,True
