,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,6.699999999999999,vladena_margita.png,vladena_vladena.png,misaligned_same,True
1,13-test-trial-2,same,4.8,josef_maxim.png,josef_josef.png,misaligned_same,True
2,14-test-trial-3,different,5.3,dominik_hynek.png,dominik_dominik.png,aligned_same,False
3,15-test-trial-4,different,5.5,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
4,16-test-trial-5,different,2.7900000000000005,cenek_cenek.png,cenek_aurel.png,aligned_same,False
5,17-test-trial-6,same,5.3,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
6,18-test-trial-7,different,8.9,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
7,19-test-trial-8,same,5.1,andrej_drahomir.png,drahomir_andrej.png,aligned_different,False
8,20-test-trial-9,same,7.6,peggy_peggy.png,peggy_viola.png,misaligned_same,True
9,21-test-trial-10,same,2.8,justin_vasil.png,vasil_justin.png,aligned_different,False
10,22-test-trial-11,different,7.699999999999999,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
11,23-test-trial-12,same,3.3,linda_jindriska.png,jindriska_linda.png,aligned_different,False
12,24-test-trial-13,different,5.790000000000001,elias_prokop.png,elias_elias.png,aligned_same,False
13,25-test-trial-14,same,5.6,maxim_maxim.png,maxim_josef.png,aligned_same,True
14,26-test-trial-15,different,3.0999999999999996,elena_eleanora.png,eleanora_elena.png,aligned_different,True
15,27-test-trial-16,same,6.199999999999999,miriama_livia.png,miriama_miriama.png,misaligned_same,True
16,28-test-trial-17,different,11.8,aurel_cenek.png,aurel_aurel.png,misaligned_same,False
17,29-test-trial-18,same,3.9999999999999996,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
18,30-test-trial-19,same,3.3,milota_milota.png,milota_saskie.png,misaligned_same,True
19,31-test-trial-20,same,20.5,prokop_prokop.png,prokop_elias.png,misaligned_same,True
20,32-test-trial-21,different,6.5,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
21,33-test-trial-22,same,3.8,livia_livia.png,livia_miriama.png,aligned_same,True
22,34-test-trial-23,different,6.5,margita_margita.png,margita_vladena.png,aligned_same,False
23,35-test-trial-24,different,2.9000000000000004,carol_brenda.png,brenda_carol.png,misaligned_different,True
24,36-test-trial-25,same,3.7,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
25,37-test-trial-26,same,1.6999999999999997,lea_lea.png,lea_stela.png,aligned_same,True
26,38-test-trial-27,different,1.6,edita_debra.png,debra_edita.png,misaligned_different,True
27,39-test-trial-28,same,3.4000000000000004,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,False
28,40-test-trial-29,same,4.800000000000001,viola_peggy.png,viola_viola.png,aligned_same,True
29,41-test-trial-30,same,10.0,saskie_milota.png,saskie_saskie.png,aligned_same,True
30,42-test-trial-31,different,4.699999999999999,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
31,43-test-trial-32,same,2.9999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
32,44-test-trial-33,different,6.890000000000001,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
33,45-test-trial-34,same,13.5,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
34,46-test-trial-35,different,3.0999999999999996,bernard_rehor.png,bernard_bernard.png,aligned_same,False
35,47-test-trial-36,different,18.299999999999997,stela_lea.png,stela_stela.png,misaligned_same,False
