,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,7.1,cenek_cenek.png,cenek_aurel.png,aligned_same,False
1,13-test-trial-2,different,1.6999999999999997,dominik_hynek.png,hynek_dominik.png,aligned_different,True
2,14-test-trial-3,different,2.6999999999999997,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
3,15-test-trial-4,different,1.2999999999999998,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
4,16-test-trial-5,different,18.2,viola_peggy.png,peggy_viola.png,misaligned_different,True
5,17-test-trial-6,same,9.9,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
6,18-test-trial-7,same,14.9,elias_prokop.png,elias_elias.png,aligned_same,True
7,19-test-trial-8,same,11.9,josef_maxim.png,josef_josef.png,misaligned_same,True
8,20-test-trial-9,same,16.2,milota_milota.png,milota_saskie.png,aligned_same,True
9,21-test-trial-10,same,0.5,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
10,22-test-trial-11,same,12.7,stela_lea.png,stela_stela.png,aligned_same,True
11,23-test-trial-12,same,4.9,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
12,24-test-trial-13,same,2.1999999999999997,livia_livia.png,livia_miriama.png,aligned_same,True
13,25-test-trial-14,,,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,
14,25-test-trial-14-repeat-1,different,26.799999999999997,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
15,26-test-trial-15,same,14.6,vladena_margita.png,vladena_vladena.png,misaligned_same,True
16,27-test-trial-16,same,2.1,brenda_brenda.png,brenda_carol.png,misaligned_same,True
17,28-test-trial-17,same,1.4999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
18,29-test-trial-18,same,2.4,andrej_drahomir.png,drahomir_andrej.png,aligned_different,False
19,30-test-trial-19,same,3.3,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
20,31-test-trial-20,same,4.7,linda_jindriska.png,linda_linda.png,misaligned_same,True
21,32-test-trial-21,same,3.5,carol_brenda.png,carol_carol.png,aligned_same,True
22,33-test-trial-22,same,12.6,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
23,34-test-trial-23,same,3.3000000000000003,maxim_maxim.png,maxim_josef.png,aligned_same,True
24,35-test-trial-24,different,7.3999999999999995,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
25,36-test-trial-25,same,2.9999999999999996,prokop_prokop.png,prokop_elias.png,misaligned_same,True
26,37-test-trial-26,same,1.4,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
27,38-test-trial-27,different,2.8000000000000003,justin_vasil.png,justin_justin.png,misaligned_same,False
28,39-test-trial-28,same,1.5,margita_margita.png,margita_vladena.png,aligned_same,True
29,40-test-trial-29,different,0.8999999999999999,elena_eleanora.png,eleanora_elena.png,aligned_different,True
30,41-test-trial-30,same,3.3000000000000003,edita_debra.png,debra_edita.png,misaligned_different,False
31,42-test-trial-31,different,2.6999999999999993,miriama_livia.png,miriama_miriama.png,misaligned_same,False
32,43-test-trial-32,same,1.1999999999999997,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,False
33,44-test-trial-33,different,3.4999999999999996,lea_lea.png,lea_stela.png,misaligned_same,False
34,45-test-trial-34,same,2.6,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
35,46-test-trial-35,different,40.699999999999996,vasil_vasil.png,vasil_justin.png,aligned_same,False
36,47-test-trial-36,same,5.1,saskie_milota.png,saskie_saskie.png,misaligned_same,True
