,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,14.899999999999999,linda_jindriska.png,jindriska_linda.png,aligned_different,False
1,13-test-trial-2,same,25.2,viktoria_perla.png,perla_viktoria.png,aligned_different,False
2,14-test-trial-3,same,1.1,elias_prokop.png,elias_elias.png,aligned_same,True
3,15-test-trial-4,same,2.3000000000000003,stela_lea.png,stela_stela.png,aligned_same,True
4,16-test-trial-5,same,2.1999999999999997,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
5,17-test-trial-6,same,1.2000000000000002,brenda_brenda.png,brenda_carol.png,aligned_same,True
6,18-test-trial-7,same,1.2000000000000002,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
7,19-test-trial-8,same,11.8,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
8,20-test-trial-9,different,8.6,rehor_rehor.png,rehor_bernard.png,misaligned_same,False
9,21-test-trial-10,same,7.200000000000001,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
10,22-test-trial-11,same,3.0,bernard_rehor.png,bernard_bernard.png,aligned_same,True
11,23-test-trial-12,same,1.4999999999999996,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
12,24-test-trial-13,same,1.0,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
13,25-test-trial-14,same,2.3999999999999995,debra_debra.png,debra_edita.png,aligned_same,True
14,26-test-trial-15,same,25.5,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
15,27-test-trial-16,same,10.4,prokop_prokop.png,prokop_elias.png,misaligned_same,True
16,28-test-trial-17,different,4.4,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
17,29-test-trial-18,same,6.300000000000001,viola_peggy.png,viola_viola.png,misaligned_same,True
18,30-test-trial-19,different,14.600000000000001,edita_debra.png,edita_edita.png,misaligned_same,False
19,31-test-trial-20,same,9.3,justin_vasil.png,vasil_justin.png,aligned_different,False
20,32-test-trial-21,same,5.4,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
21,33-test-trial-22,different,4.4,miriama_livia.png,livia_miriama.png,aligned_different,True
22,34-test-trial-23,different,1.8000000000000003,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
23,35-test-trial-24,different,1.4,vladena_margita.png,margita_vladena.png,misaligned_different,True
24,36-test-trial-25,different,3.1,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
25,37-test-trial-26,different,20.799999999999997,carol_brenda.png,carol_carol.png,misaligned_same,False
26,38-test-trial-27,different,0.6999999999999997,hynek_hynek.png,hynek_dominik.png,aligned_same,False
27,39-test-trial-28,same,3.4,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,False
28,40-test-trial-29,same,1.4,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
29,41-test-trial-30,different,2.8000000000000003,elena_eleanora.png,elena_elena.png,misaligned_same,False
30,42-test-trial-31,different,2.200000000000001,saskie_milota.png,milota_saskie.png,misaligned_different,True
31,43-test-trial-32,different,1.5,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
32,44-test-trial-33,different,1.4,lea_lea.png,lea_stela.png,misaligned_same,False
33,45-test-trial-34,different,23.299999999999997,josef_maxim.png,maxim_josef.png,aligned_different,True
34,46-test-trial-35,same,3.4999999999999996,peggy_peggy.png,peggy_viola.png,aligned_same,True
35,47-test-trial-36,different,1.4999999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
