,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.0,vasil_vasil.png,vasil_justin.png,misaligned_same,True
1,13-test-trial-2,different,2.8000000000000003,carol_brenda.png,brenda_carol.png,misaligned_different,True
2,14-test-trial-3,same,5.9,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
3,15-test-trial-4,same,3.6999999999999997,justin_vasil.png,justin_justin.png,aligned_same,True
4,16-test-trial-5,different,12.8,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
5,17-test-trial-6,same,27.099999999999998,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
6,18-test-trial-7,same,4.9,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
7,19-test-trial-8,same,2.8,viola_peggy.png,viola_viola.png,misaligned_same,True
8,20-test-trial-9,same,1.4,saskie_milota.png,saskie_saskie.png,misaligned_same,True
9,21-test-trial-10,different,2.1,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
10,22-test-trial-11,same,21.8,milota_milota.png,milota_saskie.png,aligned_same,True
11,23-test-trial-12,different,3.3999999999999995,elena_eleanora.png,eleanora_elena.png,misaligned_different,True
12,24-test-trial-13,different,6.700000000000001,miriama_livia.png,livia_miriama.png,aligned_different,True
13,25-test-trial-14,different,4.0,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
14,26-test-trial-15,same,2.3000000000000003,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
15,27-test-trial-16,same,2.3000000000000003,stela_lea.png,lea_stela.png,aligned_different,False
16,28-test-trial-17,same,2.9,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,False
17,29-test-trial-18,same,1.4,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
18,30-test-trial-19,same,1.2999999999999998,rehor_rehor.png,rehor_bernard.png,aligned_same,True
19,31-test-trial-20,different,1.3999999999999995,vladena_margita.png,margita_vladena.png,misaligned_different,True
20,32-test-trial-21,same,2.6999999999999993,elias_prokop.png,prokop_elias.png,aligned_different,False
21,33-test-trial-22,different,1.8000000000000003,edita_debra.png,edita_edita.png,aligned_same,False
22,34-test-trial-23,different,1.1999999999999997,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
23,35-test-trial-24,same,1.4,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
24,36-test-trial-25,different,2.4000000000000004,linda_jindriska.png,linda_linda.png,misaligned_same,False
25,37-test-trial-26,different,1.9000000000000004,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
26,38-test-trial-27,same,1.4,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
27,39-test-trial-28,different,2.1999999999999997,peggy_peggy.png,peggy_viola.png,aligned_same,False
28,40-test-trial-29,different,2.0,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
29,41-test-trial-30,same,1.9,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
30,42-test-trial-31,same,7.199999999999999,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
31,43-test-trial-32,different,3.8000000000000003,hynek_hynek.png,hynek_dominik.png,aligned_same,False
32,44-test-trial-33,different,5.4,debra_debra.png,debra_edita.png,misaligned_same,False
33,45-test-trial-34,different,2.4999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,False
34,46-test-trial-35,different,1.9999999999999996,josef_maxim.png,maxim_josef.png,aligned_different,True
35,47-test-trial-36,different,2.1999999999999997,perla_perla.png,perla_viktoria.png,misaligned_same,False
