,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.3000000000000003,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
1,13-test-trial-2,different,2.4,stela_lea.png,lea_stela.png,aligned_different,True
2,14-test-trial-3,different,10.1,vladena_margita.png,vladena_vladena.png,aligned_same,False
3,15-test-trial-4,different,1.9000000000000004,debra_debra.png,debra_edita.png,misaligned_same,False
4,16-test-trial-5,different,2.0,justin_vasil.png,vasil_justin.png,aligned_different,True
5,17-test-trial-6,different,0.5,edita_debra.png,edita_edita.png,aligned_same,False
6,18-test-trial-7,different,0.20000000000000018,perla_perla.png,perla_viktoria.png,aligned_same,False
7,19-test-trial-8,different,0.10000000000000009,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
8,20-test-trial-9,same,2.5000000000000004,milota_milota.png,milota_saskie.png,misaligned_same,True
9,21-test-trial-10,same,1.6,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
10,22-test-trial-11,same,2.0,carol_brenda.png,carol_carol.png,aligned_same,True
11,23-test-trial-12,same,0.20000000000000018,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
12,24-test-trial-13,same,0.30000000000000027,margita_margita.png,margita_vladena.png,misaligned_same,True
13,25-test-trial-14,same,0.7000000000000002,brenda_brenda.png,brenda_carol.png,misaligned_same,True
14,26-test-trial-15,same,1.2000000000000002,elena_eleanora.png,elena_elena.png,aligned_same,True
15,27-test-trial-16,same,1.4,aurel_cenek.png,aurel_aurel.png,aligned_same,True
16,28-test-trial-17,different,2.9000000000000004,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
17,29-test-trial-18,different,0.8999999999999999,josef_maxim.png,maxim_josef.png,misaligned_different,True
18,30-test-trial-19,different,0.10000000000000009,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,False
19,31-test-trial-20,different,0.0,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
20,32-test-trial-21,different,0.2999999999999998,bernard_rehor.png,rehor_bernard.png,aligned_different,True
21,33-test-trial-22,different,0.5,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
22,34-test-trial-23,different,4.1,elias_prokop.png,prokop_elias.png,aligned_different,True
23,35-test-trial-24,different,0.8999999999999999,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
24,36-test-trial-25,different,2.5000000000000004,oleg_tichomir.png,oleg_oleg.png,misaligned_same,False
25,37-test-trial-26,different,0.6000000000000001,miriama_livia.png,livia_miriama.png,misaligned_different,True
26,38-test-trial-27,same,0.3999999999999999,saskie_milota.png,saskie_saskie.png,aligned_same,True
27,39-test-trial-28,different,1.0,linda_jindriska.png,jindriska_linda.png,aligned_different,True
28,40-test-trial-29,same,4.1,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
29,41-test-trial-30,different,2.6,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
30,42-test-trial-31,different,2.6999999999999997,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
31,43-test-trial-32,different,10.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,False
32,44-test-trial-33,different,6.5,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
33,45-test-trial-34,same,7.9,dominik_hynek.png,hynek_dominik.png,misaligned_different,False
34,46-test-trial-35,different,1.2999999999999998,viola_peggy.png,peggy_viola.png,aligned_different,True
35,47-test-trial-36,different,1.7000000000000002,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
