,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,17.700000000000003,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
1,13-test-trial-2,,,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,
2,13-test-trial-2-repeat-1,different,18.9,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
3,14-test-trial-3,same,9.299999999999999,justin_vasil.png,justin_justin.png,aligned_same,True
4,15-test-trial-4,same,6.0,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
5,16-test-trial-5,same,6.0,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
6,17-test-trial-6,same,13.5,debra_debra.png,debra_edita.png,aligned_same,True
7,18-test-trial-7,different,10.299999999999999,bernard_rehor.png,bernard_bernard.png,aligned_same,False
8,19-test-trial-8,different,6.4,carol_brenda.png,brenda_carol.png,aligned_different,True
9,20-test-trial-9,same,3.3,livia_livia.png,livia_miriama.png,misaligned_same,True
10,21-test-trial-10,same,0.3999999999999999,josef_maxim.png,josef_josef.png,misaligned_same,True
11,22-test-trial-11,different,3.8000000000000003,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
12,23-test-trial-12,same,7.1,viola_peggy.png,viola_viola.png,aligned_same,True
13,24-test-trial-13,same,5.0,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
14,25-test-trial-14,same,3.1999999999999997,linda_jindriska.png,linda_linda.png,aligned_same,True
15,26-test-trial-15,different,6.1,vladena_margita.png,margita_vladena.png,misaligned_different,True
16,27-test-trial-16,same,8.1,elias_prokop.png,elias_elias.png,aligned_same,True
17,28-test-trial-17,same,6.6,lea_lea.png,lea_stela.png,misaligned_same,True
18,29-test-trial-18,same,1.7999999999999998,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
19,30-test-trial-19,different,6.1,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
20,31-test-trial-20,same,13.0,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
21,32-test-trial-21,same,4.1,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
22,33-test-trial-22,same,3.0,stela_lea.png,stela_stela.png,aligned_same,True
23,34-test-trial-23,same,1.7000000000000002,edita_debra.png,edita_edita.png,misaligned_same,True
24,35-test-trial-24,different,2.8000000000000003,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
25,36-test-trial-25,different,1.7000000000000002,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
26,37-test-trial-26,different,2.4,elena_eleanora.png,eleanora_elena.png,aligned_different,True
27,38-test-trial-27,same,3.1,vasil_vasil.png,vasil_justin.png,misaligned_same,True
28,39-test-trial-28,different,3.1,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
29,40-test-trial-29,same,2.4000000000000004,prokop_prokop.png,prokop_elias.png,misaligned_same,True
30,41-test-trial-30,same,4.300000000000001,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
31,42-test-trial-31,same,2.0,peggy_peggy.png,peggy_viola.png,misaligned_same,True
32,43-test-trial-32,same,1.4,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
33,44-test-trial-33,same,3.7,maxim_maxim.png,maxim_josef.png,aligned_same,True
34,45-test-trial-34,same,4.300000000000001,miriama_livia.png,miriama_miriama.png,aligned_same,True
35,46-test-trial-35,different,4.300000000000001,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
36,47-test-trial-36,different,3.1,saskie_milota.png,milota_saskie.png,aligned_different,True
