,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.4,saskie_milota.png,saskie_saskie.png,aligned_same,True
1,13-test-trial-2,same,6.4,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
2,14-test-trial-3,same,3.9,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
3,15-test-trial-4,same,2.9000000000000004,stela_lea.png,stela_stela.png,misaligned_same,True
4,16-test-trial-5,different,18.0,viola_peggy.png,peggy_viola.png,aligned_different,True
5,17-test-trial-6,same,5.1,bernard_rehor.png,rehor_bernard.png,aligned_different,False
6,18-test-trial-7,different,7.1,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
7,19-test-trial-8,same,8.0,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
8,20-test-trial-9,same,8.3,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
9,21-test-trial-10,different,2.5999999999999996,linda_jindriska.png,linda_linda.png,aligned_same,False
10,22-test-trial-11,same,2.1999999999999997,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
11,23-test-trial-12,same,11.200000000000001,elena_eleanora.png,eleanora_elena.png,aligned_different,False
12,24-test-trial-13,same,6.0,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
13,25-test-trial-14,same,4.9,perla_perla.png,perla_viktoria.png,misaligned_same,True
14,26-test-trial-15,same,3.3,josef_maxim.png,maxim_josef.png,misaligned_different,False
15,27-test-trial-16,different,2.8000000000000003,justin_vasil.png,justin_justin.png,misaligned_same,False
16,28-test-trial-17,same,1.7000000000000002,vasil_vasil.png,vasil_justin.png,aligned_same,True
17,29-test-trial-18,different,10.399999999999999,carol_brenda.png,brenda_carol.png,misaligned_different,True
18,30-test-trial-19,different,15.7,edita_debra.png,debra_edita.png,aligned_different,True
19,31-test-trial-20,same,12.4,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
20,32-test-trial-21,same,0.7999999999999998,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
21,33-test-trial-22,different,27.8,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
22,34-test-trial-23,same,12.9,miriama_livia.png,livia_miriama.png,misaligned_different,False
23,35-test-trial-24,different,14.099999999999998,hynek_hynek.png,hynek_dominik.png,aligned_same,False
24,36-test-trial-25,same,31.799999999999997,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
25,37-test-trial-26,different,15.2,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
26,38-test-trial-27,same,23.8,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
27,39-test-trial-28,same,3.8999999999999995,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
28,40-test-trial-29,same,4.5,prokop_prokop.png,prokop_elias.png,misaligned_same,True
29,41-test-trial-30,different,9.3,milota_milota.png,milota_saskie.png,misaligned_same,False
30,42-test-trial-31,different,3.3000000000000007,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
31,43-test-trial-32,different,1.4,vladena_margita.png,margita_vladena.png,misaligned_different,True
32,44-test-trial-33,same,4.5,lea_lea.png,lea_stela.png,aligned_same,True
33,45-test-trial-34,same,11.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
34,46-test-trial-35,same,20.3,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
35,47-test-trial-36,different,11.100000000000001,elias_prokop.png,elias_elias.png,aligned_same,False
