,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.5,edita_debra.png,edita_edita.png,aligned_same,True
1,13-test-trial-2,different,9.9,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
2,14-test-trial-3,same,2.2,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
3,15-test-trial-4,same,1.3000000000000003,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
4,16-test-trial-5,same,7.699999999999999,elias_prokop.png,prokop_elias.png,aligned_different,False
5,17-test-trial-6,same,2.5999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
6,18-test-trial-7,different,7.5,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
7,19-test-trial-8,different,0.6000000000000001,vladena_margita.png,margita_vladena.png,aligned_different,True
8,20-test-trial-9,same,1.9,linda_jindriska.png,linda_linda.png,aligned_same,True
9,21-test-trial-10,same,2.0999999999999996,dominik_hynek.png,hynek_dominik.png,misaligned_different,False
10,22-test-trial-11,different,0.2999999999999998,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
11,23-test-trial-12,same,9.9,vasil_vasil.png,vasil_justin.png,misaligned_same,True
12,24-test-trial-13,same,2.0,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
13,25-test-trial-14,same,2.3,justin_vasil.png,justin_justin.png,aligned_same,True
14,26-test-trial-15,same,10.700000000000001,carol_brenda.png,carol_carol.png,misaligned_same,True
15,27-test-trial-16,same,5.300000000000001,elena_eleanora.png,elena_elena.png,aligned_same,True
16,28-test-trial-17,same,1.5999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
17,29-test-trial-18,same,6.5,debra_debra.png,debra_edita.png,misaligned_same,True
18,30-test-trial-19,different,2.1,viola_peggy.png,peggy_viola.png,misaligned_different,True
19,31-test-trial-20,same,2.4999999999999996,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
20,32-test-trial-21,different,0.8999999999999995,aurel_cenek.png,cenek_aurel.png,aligned_different,True
21,33-test-trial-22,same,1.0,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
22,34-test-trial-23,same,1.0,josef_maxim.png,josef_josef.png,misaligned_same,True
23,35-test-trial-24,same,0.3999999999999999,brenda_brenda.png,brenda_carol.png,aligned_same,True
24,36-test-trial-25,same,1.5,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
25,37-test-trial-26,different,1.5,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
26,38-test-trial-27,same,3.4,maxim_maxim.png,maxim_josef.png,aligned_same,True
27,39-test-trial-28,same,17.6,perla_perla.png,perla_viktoria.png,aligned_same,True
28,40-test-trial-29,different,5.6,saskie_milota.png,milota_saskie.png,misaligned_different,True
29,41-test-trial-30,different,0.7999999999999998,stela_lea.png,lea_stela.png,aligned_different,True
30,42-test-trial-31,different,0.5999999999999996,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
31,43-test-trial-32,different,3.2,miriama_livia.png,miriama_miriama.png,aligned_same,False
32,44-test-trial-33,same,0.9999999999999996,livia_livia.png,livia_miriama.png,misaligned_same,True
33,45-test-trial-34,different,4.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
34,46-test-trial-35,same,2.9,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
35,47-test-trial-36,same,2.7,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
