,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.8100000000000005,lea_lea.png,lea_stela.png,misaligned_same,True
1,13-test-trial-2,different,2.6,carol_brenda.png,brenda_carol.png,misaligned_different,True
2,14-test-trial-3,same,4.5,linda_jindriska.png,jindriska_linda.png,aligned_different,False
3,15-test-trial-4,different,3.8000000000000003,viola_peggy.png,viola_viola.png,aligned_same,False
4,16-test-trial-5,same,12.190000000000001,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,False
5,17-test-trial-6,different,4.2,stela_lea.png,stela_stela.png,aligned_same,False
6,18-test-trial-7,different,5.889999999999999,edita_debra.png,edita_edita.png,misaligned_same,False
7,19-test-trial-8,same,12.7,peggy_peggy.png,peggy_viola.png,misaligned_same,True
8,20-test-trial-9,same,20.099999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,False
9,21-test-trial-10,different,20.29,perla_perla.png,perla_viktoria.png,misaligned_same,False
10,22-test-trial-11,different,4.699999999999999,saskie_milota.png,milota_saskie.png,misaligned_different,True
11,23-test-trial-12,different,5.5,elias_prokop.png,elias_elias.png,misaligned_same,False
12,24-test-trial-13,different,11.29,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
13,25-test-trial-14,same,5.8999999999999995,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
14,26-test-trial-15,same,13.51,vladena_margita.png,margita_vladena.png,aligned_different,False
15,27-test-trial-16,same,3.6000000000000005,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
16,28-test-trial-17,same,6.800000000000001,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
17,29-test-trial-18,same,7.6,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
18,30-test-trial-19,different,23.4,josef_maxim.png,maxim_josef.png,aligned_different,True
19,31-test-trial-20,same,4.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
20,32-test-trial-21,same,3.0999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
21,33-test-trial-22,different,91.0,aurel_cenek.png,cenek_aurel.png,aligned_different,True
22,34-test-trial-23,same,6.699999999999999,debra_debra.png,debra_edita.png,aligned_same,True
23,35-test-trial-24,same,5.300000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
24,36-test-trial-25,different,10.0,hynek_hynek.png,hynek_dominik.png,aligned_same,False
25,37-test-trial-26,same,5.0,bernard_rehor.png,bernard_bernard.png,aligned_same,True
26,38-test-trial-27,different,12.100000000000001,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
27,39-test-trial-28,different,3.9000000000000004,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
28,40-test-trial-29,different,4.390000000000001,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
29,41-test-trial-30,different,60.6,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
30,42-test-trial-31,different,6.000000000000001,justin_vasil.png,vasil_justin.png,aligned_different,True
31,43-test-trial-32,same,34.1,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
32,44-test-trial-33,different,4.7,miriama_livia.png,livia_miriama.png,aligned_different,True
33,45-test-trial-34,different,2.6999999999999997,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
34,46-test-trial-35,different,11.8,prokop_prokop.png,prokop_elias.png,aligned_same,False
35,47-test-trial-36,same,17.7,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
