,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.299999999999999,linda_jindriska.png,linda_linda.png,misaligned_same,True
1,13-test-trial-2,same,1.0,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
2,14-test-trial-3,same,3.6999999999999997,maxim_maxim.png,maxim_josef.png,aligned_same,True
3,15-test-trial-4,same,1.9999999999999996,vladena_margita.png,margita_vladena.png,misaligned_different,False
4,16-test-trial-5,same,55.1,elias_prokop.png,prokop_elias.png,aligned_different,False
5,17-test-trial-6,same,2.5999999999999996,saskie_milota.png,saskie_saskie.png,misaligned_same,True
6,18-test-trial-7,same,4.1,stela_lea.png,lea_stela.png,aligned_different,False
7,19-test-trial-8,same,0.8999999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
8,20-test-trial-9,same,1.1,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,False
9,21-test-trial-10,same,5.1,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
10,22-test-trial-11,same,77.5,bernard_rehor.png,rehor_bernard.png,misaligned_different,False
11,23-test-trial-12,same,3.6999999999999997,livia_livia.png,livia_miriama.png,misaligned_same,True
12,24-test-trial-13,same,0.8999999999999999,dominik_hynek.png,hynek_dominik.png,misaligned_different,False
13,25-test-trial-14,same,2.0,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
14,26-test-trial-15,same,1.7000000000000002,edita_debra.png,debra_edita.png,aligned_different,False
15,27-test-trial-16,same,1.5999999999999996,carol_brenda.png,brenda_carol.png,aligned_different,False
16,28-test-trial-17,same,1.0,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
17,29-test-trial-18,same,1.7999999999999998,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
18,30-test-trial-19,same,0.7999999999999998,miriama_livia.png,miriama_miriama.png,aligned_same,True
19,31-test-trial-20,same,1.7000000000000002,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
20,32-test-trial-21,same,3.9000000000000004,perla_perla.png,perla_viktoria.png,misaligned_same,True
21,33-test-trial-22,same,1.6,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
22,34-test-trial-23,same,0.7999999999999998,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
23,35-test-trial-24,same,1.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
24,36-test-trial-25,same,2.9999999999999996,viola_peggy.png,peggy_viola.png,misaligned_different,False
25,37-test-trial-26,same,0.8999999999999999,vasil_vasil.png,vasil_justin.png,misaligned_same,True
26,38-test-trial-27,same,3.0,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
27,39-test-trial-28,same,1.7000000000000002,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
28,40-test-trial-29,same,3.1999999999999997,milota_milota.png,milota_saskie.png,aligned_same,True
29,41-test-trial-30,same,0.7000000000000002,justin_vasil.png,justin_justin.png,aligned_same,True
30,42-test-trial-31,same,13.299999999999999,oleg_tichomir.png,tichomir_oleg.png,aligned_different,False
31,43-test-trial-32,same,1.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
32,44-test-trial-33,same,3.4000000000000004,josef_maxim.png,josef_josef.png,misaligned_same,True
33,45-test-trial-34,same,0.7999999999999998,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
34,46-test-trial-35,same,4.7,elena_eleanora.png,elena_elena.png,aligned_same,True
35,47-test-trial-36,same,2.0,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
