,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.8000000000000003,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
1,13-test-trial-2,different,2.8000000000000003,josef_maxim.png,maxim_josef.png,misaligned_different,True
2,14-test-trial-3,same,1.9999999999999996,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
3,15-test-trial-4,same,2.6999999999999997,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
4,16-test-trial-5,same,2.6999999999999997,lea_lea.png,lea_stela.png,aligned_same,True
5,17-test-trial-6,same,2.6,margita_margita.png,margita_vladena.png,misaligned_same,True
6,18-test-trial-7,same,1.8000000000000003,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
7,19-test-trial-8,different,2.1,dominik_hynek.png,hynek_dominik.png,aligned_different,True
8,20-test-trial-9,same,3.0,prokop_prokop.png,prokop_elias.png,misaligned_same,True
9,21-test-trial-10,different,1.3000000000000003,carol_brenda.png,brenda_carol.png,misaligned_different,True
10,22-test-trial-11,same,3.1999999999999997,edita_debra.png,edita_edita.png,misaligned_same,True
11,23-test-trial-12,same,2.4999999999999996,debra_debra.png,debra_edita.png,aligned_same,True
12,24-test-trial-13,different,4.6,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
13,25-test-trial-14,different,3.9999999999999996,justin_vasil.png,vasil_justin.png,misaligned_different,True
14,26-test-trial-15,same,3.0,vladena_margita.png,vladena_vladena.png,aligned_same,True
15,27-test-trial-16,different,2.5000000000000004,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
16,28-test-trial-17,same,3.9,saskie_milota.png,milota_saskie.png,aligned_different,False
17,29-test-trial-18,different,2.0,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
18,30-test-trial-19,different,1.9999999999999996,peggy_peggy.png,peggy_viola.png,aligned_same,False
19,31-test-trial-20,same,1.7000000000000002,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
20,32-test-trial-21,different,3.0,bernard_rehor.png,bernard_bernard.png,misaligned_same,False
21,33-test-trial-22,same,1.9999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
22,34-test-trial-23,same,1.8000000000000003,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
23,35-test-trial-24,same,0.8999999999999999,viola_peggy.png,viola_viola.png,misaligned_same,True
24,36-test-trial-25,same,1.4,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
25,37-test-trial-26,same,1.1,elias_prokop.png,elias_elias.png,aligned_same,True
26,38-test-trial-27,different,1.4999999999999996,viktoria_perla.png,perla_viktoria.png,aligned_different,True
27,39-test-trial-28,different,2.1,miriama_livia.png,livia_miriama.png,misaligned_different,True
28,40-test-trial-29,same,2.1999999999999997,elena_eleanora.png,elena_elena.png,misaligned_same,True
29,41-test-trial-30,same,4.1,rehor_rehor.png,rehor_bernard.png,aligned_same,True
30,42-test-trial-31,different,3.6,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
31,43-test-trial-32,same,1.6,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
32,44-test-trial-33,different,2.9999999999999996,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
33,45-test-trial-34,same,5.0,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
34,46-test-trial-35,same,2.4,aurel_cenek.png,aurel_aurel.png,aligned_same,True
35,47-test-trial-36,same,2.1,stela_lea.png,stela_stela.png,misaligned_same,True
