,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,10.4,aurel_cenek.png,aurel_aurel.png,aligned_same,True
1,13-test-trial-2,different,8.2,elias_prokop.png,prokop_elias.png,aligned_different,True
2,14-test-trial-3,same,5.9,miriama_livia.png,miriama_miriama.png,misaligned_same,True
3,15-test-trial-4,same,6.2,josef_maxim.png,josef_josef.png,misaligned_same,True
4,16-test-trial-5,same,4.6,margita_margita.png,margita_vladena.png,misaligned_same,True
5,17-test-trial-6,different,2.4,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
6,18-test-trial-7,different,9.4,elena_eleanora.png,eleanora_elena.png,aligned_different,True
7,19-test-trial-8,same,4.699999999999999,maxim_maxim.png,maxim_josef.png,aligned_same,True
8,20-test-trial-9,same,8.9,milota_milota.png,milota_saskie.png,misaligned_same,True
9,21-test-trial-10,different,5.4,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
10,22-test-trial-11,same,3.1,saskie_milota.png,saskie_saskie.png,aligned_same,True
11,23-test-trial-12,different,5.700000000000001,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
12,24-test-trial-13,different,1.81,viola_peggy.png,peggy_viola.png,misaligned_different,True
13,25-test-trial-14,same,5.29,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
14,26-test-trial-15,different,6.800000000000001,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
15,27-test-trial-16,same,11.3,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
16,28-test-trial-17,different,3.7,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
17,29-test-trial-18,different,2.0999999999999996,justin_vasil.png,vasil_justin.png,misaligned_different,True
18,30-test-trial-19,same,3.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
19,31-test-trial-20,same,1.5,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
20,32-test-trial-21,different,3.4999999999999996,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
21,33-test-trial-22,different,3.8099999999999996,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
22,34-test-trial-23,different,1.7999999999999998,stela_lea.png,lea_stela.png,aligned_different,True
23,35-test-trial-24,same,8.290000000000001,livia_livia.png,livia_miriama.png,aligned_same,True
24,36-test-trial-25,same,2.09,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
25,37-test-trial-26,different,4.199999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
26,38-test-trial-27,same,6.0,carol_brenda.png,carol_carol.png,aligned_same,True
27,39-test-trial-28,same,6.890000000000001,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
28,40-test-trial-29,different,3.2,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
29,41-test-trial-30,same,4.49,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
30,42-test-trial-31,same,5.0,hynek_hynek.png,hynek_dominik.png,aligned_same,True
31,43-test-trial-32,same,5.499999999999998,brenda_brenda.png,brenda_carol.png,misaligned_same,True
32,44-test-trial-33,same,14.899999999999999,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
33,45-test-trial-34,same,25.5,vladena_margita.png,vladena_vladena.png,aligned_same,True
34,46-test-trial-35,same,12.700000000000001,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
35,47-test-trial-36,different,4.5,edita_debra.png,debra_edita.png,aligned_different,True
