,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.5,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
1,13-test-trial-2,different,7.0,bernard_rehor.png,rehor_bernard.png,aligned_different,True
2,14-test-trial-3,same,6.800000000000001,dominik_hynek.png,hynek_dominik.png,aligned_different,False
3,15-test-trial-4,same,1.5,livia_livia.png,livia_miriama.png,misaligned_same,True
4,16-test-trial-5,same,4.9,vladena_margita.png,margita_vladena.png,misaligned_different,False
5,17-test-trial-6,same,2.7,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
6,18-test-trial-7,same,8.3,oleg_tichomir.png,tichomir_oleg.png,aligned_different,False
7,19-test-trial-8,different,4.0,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
8,20-test-trial-9,same,10.6,maxim_maxim.png,maxim_josef.png,misaligned_same,True
9,21-test-trial-10,same,3.7,lea_lea.png,lea_stela.png,misaligned_same,True
10,22-test-trial-11,same,5.699999999999999,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
11,23-test-trial-12,different,5.300000000000001,carol_brenda.png,brenda_carol.png,misaligned_different,True
12,24-test-trial-13,same,4.2,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
13,25-test-trial-14,same,2.0999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
14,26-test-trial-15,same,6.5,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
15,27-test-trial-16,same,1.9000000000000004,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
16,28-test-trial-17,different,4.5,viola_peggy.png,peggy_viola.png,aligned_different,True
17,29-test-trial-18,same,7.1,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,False
18,30-test-trial-19,same,4.1,vasil_vasil.png,vasil_justin.png,misaligned_same,True
19,31-test-trial-20,same,9.3,josef_maxim.png,josef_josef.png,aligned_same,True
20,32-test-trial-21,different,5.299999999999999,perla_perla.png,perla_viktoria.png,aligned_same,False
21,33-test-trial-22,same,3.3,stela_lea.png,stela_stela.png,aligned_same,True
22,34-test-trial-23,same,4.0,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
23,35-test-trial-24,same,4.8,saskie_milota.png,milota_saskie.png,misaligned_different,False
24,36-test-trial-25,same,2.5999999999999996,elena_eleanora.png,elena_elena.png,aligned_same,True
25,37-test-trial-26,same,1.0,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
26,38-test-trial-27,same,2.0,prokop_prokop.png,prokop_elias.png,aligned_same,True
27,39-test-trial-28,same,4.400000000000002,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
28,40-test-trial-29,same,3.0999999999999996,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
29,41-test-trial-30,different,5.2,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
30,42-test-trial-31,same,2.9000000000000004,miriama_livia.png,miriama_miriama.png,aligned_same,True
31,43-test-trial-32,same,3.4000000000000004,edita_debra.png,debra_edita.png,aligned_different,False
32,44-test-trial-33,same,2.4000000000000004,linda_jindriska.png,linda_linda.png,aligned_same,True
33,45-test-trial-34,same,2.5,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
34,46-test-trial-35,same,1.4000000000000004,elias_prokop.png,elias_elias.png,misaligned_same,True
35,47-test-trial-36,same,0.7000000000000002,justin_vasil.png,justin_justin.png,aligned_same,True
