,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.0,miriama_livia.png,miriama_miriama.png,aligned_same,False
1,13-test-trial-2,same,2.7,livia_livia.png,livia_miriama.png,misaligned_same,True
2,14-test-trial-3,different,10.5,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
3,15-test-trial-4,same,8.1,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
4,16-test-trial-5,same,4.8,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
5,17-test-trial-6,different,2.2,dominik_hynek.png,hynek_dominik.png,aligned_different,True
6,18-test-trial-7,same,2.3,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
7,19-test-trial-8,different,2.3,elias_prokop.png,elias_elias.png,aligned_same,False
8,20-test-trial-9,same,3.5,debra_debra.png,debra_edita.png,aligned_same,True
9,21-test-trial-10,same,2.2,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
10,22-test-trial-11,same,2.0999999999999996,maxim_maxim.png,maxim_josef.png,aligned_same,True
11,23-test-trial-12,different,2.7,justin_vasil.png,justin_justin.png,aligned_same,False
12,24-test-trial-13,different,2.0999999999999996,carol_brenda.png,brenda_carol.png,aligned_different,True
13,25-test-trial-14,same,1.7999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
14,26-test-trial-15,different,21.4,viktoria_perla.png,perla_viktoria.png,aligned_different,True
15,27-test-trial-16,different,6.6,saskie_milota.png,milota_saskie.png,misaligned_different,True
16,28-test-trial-17,different,25.8,rehor_rehor.png,rehor_bernard.png,misaligned_same,False
17,29-test-trial-18,different,13.7,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
18,30-test-trial-19,different,2.6999999999999997,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
19,31-test-trial-20,same,1.5,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
20,32-test-trial-21,same,7.799999999999999,peggy_peggy.png,peggy_viola.png,aligned_same,True
21,33-test-trial-22,same,12.3,prokop_prokop.png,prokop_elias.png,misaligned_same,True
22,34-test-trial-23,different,2.1,vladena_margita.png,margita_vladena.png,misaligned_different,True
23,35-test-trial-24,same,14.100000000000001,lea_lea.png,lea_stela.png,aligned_same,True
24,36-test-trial-25,same,9.4,bernard_rehor.png,bernard_bernard.png,aligned_same,True
25,37-test-trial-26,different,8.1,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
26,38-test-trial-27,same,2.1999999999999997,edita_debra.png,edita_edita.png,misaligned_same,True
27,39-test-trial-28,same,35.0,linda_jindriska.png,linda_linda.png,aligned_same,True
28,40-test-trial-29,different,3.1,stela_lea.png,stela_stela.png,misaligned_same,False
29,41-test-trial-30,same,3.0,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
30,42-test-trial-31,same,1.5,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
31,43-test-trial-32,different,2.7,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
32,44-test-trial-33,different,6.1,viola_peggy.png,viola_viola.png,misaligned_same,False
33,45-test-trial-34,same,2.5000000000000004,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,False
34,46-test-trial-35,same,2.3,vasil_vasil.png,vasil_justin.png,misaligned_same,True
35,47-test-trial-36,different,3.5,josef_maxim.png,josef_josef.png,misaligned_same,False
