,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,4.199999999999999,edita_debra.png,edita_edita.png,misaligned_same,True
1,13-test-trial-2,different,3.4,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
2,14-test-trial-3,same,1.5999999999999996,margita_margita.png,margita_vladena.png,aligned_same,True
3,15-test-trial-4,different,6.9,elias_prokop.png,elias_elias.png,aligned_same,False
4,16-test-trial-5,different,2.5,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
5,17-test-trial-6,same,2.5,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
6,18-test-trial-7,same,1.2999999999999998,prokop_prokop.png,prokop_elias.png,misaligned_same,True
7,19-test-trial-8,same,8.200000000000001,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
8,20-test-trial-9,same,4.9,saskie_milota.png,saskie_saskie.png,misaligned_same,True
9,21-test-trial-10,same,3.2,milota_milota.png,milota_saskie.png,aligned_same,True
10,22-test-trial-11,same,7.299999999999999,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
11,23-test-trial-12,different,1.7000000000000002,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
12,24-test-trial-13,same,2.0,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
13,25-test-trial-14,same,2.1,livia_livia.png,livia_miriama.png,misaligned_same,True
14,26-test-trial-15,same,3.3,debra_debra.png,debra_edita.png,aligned_same,True
15,27-test-trial-16,different,4.5,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
16,28-test-trial-17,different,5.1,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
17,29-test-trial-18,same,4.9,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
18,30-test-trial-19,same,2.5999999999999996,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
19,31-test-trial-20,different,4.1,viola_peggy.png,peggy_viola.png,misaligned_different,True
20,32-test-trial-21,same,2.8000000000000007,stela_lea.png,stela_stela.png,misaligned_same,True
21,33-test-trial-22,same,3.6999999999999997,lea_lea.png,lea_stela.png,aligned_same,True
22,34-test-trial-23,same,1.8000000000000003,cenek_cenek.png,cenek_aurel.png,aligned_same,True
23,35-test-trial-24,different,2.1999999999999997,justin_vasil.png,vasil_justin.png,aligned_different,True
24,36-test-trial-25,different,4.3,vladena_margita.png,vladena_vladena.png,misaligned_same,False
25,37-test-trial-26,different,1.3999999999999995,linda_jindriska.png,jindriska_linda.png,aligned_different,True
26,38-test-trial-27,same,11.6,maxim_maxim.png,maxim_josef.png,misaligned_same,True
27,39-test-trial-28,same,7.299999999999999,josef_maxim.png,josef_josef.png,aligned_same,True
28,40-test-trial-29,same,5.41,miriama_livia.png,miriama_miriama.png,aligned_same,True
29,41-test-trial-30,same,8.8,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
30,42-test-trial-31,different,1.0999999999999996,viktoria_perla.png,perla_viktoria.png,aligned_different,True
31,43-test-trial-32,different,7.8999999999999995,oleg_tichomir.png,oleg_oleg.png,misaligned_same,False
32,44-test-trial-33,different,2.8999999999999995,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
33,45-test-trial-34,different,3.2099999999999995,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
34,46-test-trial-35,different,3.3,hynek_hynek.png,hynek_dominik.png,aligned_same,False
35,47-test-trial-36,different,6.9,carol_brenda.png,brenda_carol.png,aligned_different,True
