,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.5,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
1,13-test-trial-2,different,6.800000000000001,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
2,14-test-trial-3,same,3.9,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
3,15-test-trial-4,same,5.1,josef_maxim.png,maxim_josef.png,aligned_different,False
4,16-test-trial-5,same,8.8,dominik_hynek.png,dominik_dominik.png,aligned_same,True
5,17-test-trial-6,same,10.5,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
6,18-test-trial-7,same,15.3,henrich_tomasi.png,tomasi_henrich.png,aligned_different,False
7,19-test-trial-8,different,7.8999999999999995,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
8,20-test-trial-9,different,6.59,edita_debra.png,edita_edita.png,misaligned_same,False
9,21-test-trial-10,same,17.8,carol_brenda.png,brenda_carol.png,misaligned_different,False
10,22-test-trial-11,same,1.5999999999999996,cenek_cenek.png,cenek_aurel.png,aligned_same,True
11,23-test-trial-12,same,12.9,margita_margita.png,margita_vladena.png,aligned_same,True
12,24-test-trial-13,different,3.9,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
13,25-test-trial-14,same,7.999999999999999,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
14,26-test-trial-15,same,3.2,vladena_margita.png,vladena_vladena.png,misaligned_same,True
15,27-test-trial-16,same,2.9999999999999996,elias_prokop.png,prokop_elias.png,misaligned_different,False
16,28-test-trial-17,same,9.9,viola_peggy.png,viola_viola.png,aligned_same,True
17,29-test-trial-18,same,7.0,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
18,30-test-trial-19,same,5.8999999999999995,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
19,31-test-trial-20,same,2.4,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
20,32-test-trial-21,different,4.5,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
21,33-test-trial-22,same,16.9,miriama_livia.png,livia_miriama.png,aligned_different,False
22,34-test-trial-23,same,17.0,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
23,35-test-trial-24,same,0.7999999999999998,debra_debra.png,debra_edita.png,aligned_same,True
24,36-test-trial-25,same,1.4,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
25,37-test-trial-26,same,1.6999999999999997,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
26,38-test-trial-27,same,6.1,rehor_rehor.png,rehor_bernard.png,aligned_same,True
27,39-test-trial-28,same,2.9999999999999996,peggy_peggy.png,peggy_viola.png,misaligned_same,True
28,40-test-trial-29,same,1.0,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
29,41-test-trial-30,same,1.6,elena_eleanora.png,eleanora_elena.png,aligned_different,False
30,42-test-trial-31,same,2.1999999999999993,justin_vasil.png,vasil_justin.png,misaligned_different,False
31,43-test-trial-32,same,2.6,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
32,44-test-trial-33,same,1.4999999999999996,perla_perla.png,perla_viktoria.png,aligned_same,True
33,45-test-trial-34,same,1.4,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
34,46-test-trial-35,same,1.4999999999999996,stela_lea.png,lea_stela.png,misaligned_different,False
35,47-test-trial-36,same,1.0,saskie_milota.png,milota_saskie.png,aligned_different,False
