,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,23.606,bernard_rehor.png,bernard_bernard.png,aligned_same,False
1,13-test-trial-2,different,8.88,vladena_margita.png,margita_vladena.png,aligned_different,True
2,14-test-trial-3,same,8.984,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
3,15-test-trial-4,different,7.937,carol_brenda.png,brenda_carol.png,misaligned_different,True
4,16-test-trial-5,same,9.099,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
5,17-test-trial-6,different,7.533,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,False
6,18-test-trial-7,different,5.3,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,False
7,19-test-trial-8,same,6.512,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
8,20-test-trial-9,same,9.787,dominik_hynek.png,hynek_dominik.png,misaligned_different,False
9,21-test-trial-10,different,19.891,lea_lea.png,lea_stela.png,aligned_same,False
10,22-test-trial-11,different,22.5,saskie_milota.png,milota_saskie.png,aligned_different,True
11,23-test-trial-12,different,17.49,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
12,24-test-trial-13,same,11.879,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
13,25-test-trial-14,different,11.183,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
14,26-test-trial-15,different,9.084,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
15,27-test-trial-16,different,5.855,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
16,28-test-trial-17,same,5.961,stela_lea.png,stela_stela.png,misaligned_same,True
17,29-test-trial-18,different,7.106,aurel_cenek.png,cenek_aurel.png,aligned_different,True
18,30-test-trial-19,same,6.661,miriama_livia.png,livia_miriama.png,aligned_different,False
19,31-test-trial-20,different,7.429,vasil_vasil.png,vasil_justin.png,aligned_same,False
20,32-test-trial-21,different,6.208,perla_perla.png,perla_viktoria.png,aligned_same,False
21,33-test-trial-22,different,12.896,elena_eleanora.png,elena_elena.png,misaligned_same,False
22,34-test-trial-23,different,8.41,elias_prokop.png,elias_elias.png,misaligned_same,False
23,35-test-trial-24,same,8.225,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
24,36-test-trial-25,different,7.033,josef_maxim.png,maxim_josef.png,aligned_different,True
25,37-test-trial-26,same,20.992,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
