,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.0,miriama_livia.png,livia_miriama.png,aligned_different,False
1,13-test-trial-2,same,1.6,rehor_rehor.png,rehor_bernard.png,aligned_same,True
2,14-test-trial-3,same,1.0,vladena_margita.png,margita_vladena.png,misaligned_different,False
3,15-test-trial-4,same,1.5999999999999996,carol_brenda.png,brenda_carol.png,misaligned_different,False
4,16-test-trial-5,same,2.2,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
5,17-test-trial-6,different,6.5,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
6,18-test-trial-7,different,12.5,viktoria_perla.png,perla_viktoria.png,aligned_different,True
7,19-test-trial-8,same,4.5,edita_debra.png,edita_edita.png,aligned_same,True
8,20-test-trial-9,same,1.2999999999999998,peggy_peggy.png,peggy_viola.png,aligned_same,True
9,21-test-trial-10,same,0.9999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,False
10,22-test-trial-11,same,1.0999999999999996,elias_prokop.png,elias_elias.png,misaligned_same,True
11,23-test-trial-12,different,5.2,justin_vasil.png,vasil_justin.png,aligned_different,True
12,24-test-trial-13,same,4.4,elena_eleanora.png,elena_elena.png,misaligned_same,True
13,25-test-trial-14,different,4.1,josef_maxim.png,maxim_josef.png,aligned_different,True
14,26-test-trial-15,different,1.7000000000000002,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
15,27-test-trial-16,different,2.0,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
16,28-test-trial-17,same,5.699999999999999,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
17,29-test-trial-18,different,3.4000000000000004,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
18,30-test-trial-19,same,3.9000000000000004,debra_debra.png,debra_edita.png,misaligned_same,True
19,31-test-trial-20,same,2.0,saskie_milota.png,saskie_saskie.png,misaligned_same,True
20,32-test-trial-21,same,2.6999999999999993,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
21,33-test-trial-22,different,4.3,stela_lea.png,stela_stela.png,aligned_same,False
22,34-test-trial-23,same,5.2,viola_peggy.png,viola_viola.png,misaligned_same,True
23,35-test-trial-24,different,3.3,linda_jindriska.png,jindriska_linda.png,aligned_different,True
24,36-test-trial-25,same,4.7,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
25,37-test-trial-26,same,0.6000000000000001,prokop_prokop.png,prokop_elias.png,aligned_same,True
26,38-test-trial-27,different,2.5,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
27,39-test-trial-28,same,2.2,dominik_hynek.png,dominik_dominik.png,aligned_same,True
28,40-test-trial-29,same,3.0,lea_lea.png,lea_stela.png,misaligned_same,True
29,41-test-trial-30,different,3.7,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
30,42-test-trial-31,different,0.6999999999999993,milota_milota.png,milota_saskie.png,aligned_same,False
31,43-test-trial-32,same,2.5999999999999996,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
32,44-test-trial-33,different,2.5,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
33,45-test-trial-34,same,6.300000000000001,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
34,46-test-trial-35,same,2.8,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
35,47-test-trial-36,same,1.0,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
