,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,2.799999999999999,justin_vasil.png,justin_justin.png,misaligned_same,False
1,13-test-trial-2,different,2.8,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
2,14-test-trial-3,different,3.3,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
3,15-test-trial-4,different,3.4000000000000004,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
4,16-test-trial-5,different,2.4000000000000004,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
5,17-test-trial-6,same,2.5999999999999996,perla_perla.png,perla_viktoria.png,aligned_same,True
6,18-test-trial-7,same,2.8,brenda_brenda.png,brenda_carol.png,misaligned_same,True
7,19-test-trial-8,different,2.3,saskie_milota.png,milota_saskie.png,misaligned_different,True
8,20-test-trial-9,same,2.7,viola_peggy.png,peggy_viola.png,aligned_different,False
9,21-test-trial-10,different,4.3,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
10,22-test-trial-11,different,2.4000000000000004,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,False
11,23-test-trial-12,different,3.9000000000000004,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
12,24-test-trial-13,same,3.9000000000000004,dominik_hynek.png,hynek_dominik.png,misaligned_different,False
13,25-test-trial-14,different,9.0,miriama_livia.png,livia_miriama.png,aligned_different,True
14,26-test-trial-15,different,2.8,oleg_tichomir.png,oleg_oleg.png,misaligned_same,False
15,27-test-trial-16,different,1.5999999999999996,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,False
16,28-test-trial-17,different,1.9000000000000004,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,False
17,29-test-trial-18,different,0.8999999999999999,vladena_margita.png,vladena_vladena.png,misaligned_same,False
18,30-test-trial-19,different,3.2,linda_jindriska.png,linda_linda.png,aligned_same,False
19,31-test-trial-20,different,1.7000000000000002,margita_margita.png,margita_vladena.png,aligned_same,False
20,32-test-trial-21,different,1.0999999999999996,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
21,33-test-trial-22,different,1.5999999999999996,vasil_vasil.png,vasil_justin.png,aligned_same,False
22,34-test-trial-23,different,2.0999999999999996,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
23,35-test-trial-24,different,1.9000000000000004,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
24,36-test-trial-25,different,1.2999999999999998,debra_debra.png,debra_edita.png,aligned_same,False
25,37-test-trial-26,different,1.7999999999999998,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
26,38-test-trial-27,different,0.6000000000000001,stela_lea.png,lea_stela.png,aligned_different,True
27,39-test-trial-28,different,0.8999999999999999,elias_prokop.png,prokop_elias.png,aligned_different,True
28,40-test-trial-29,different,0.6000000000000001,bernard_rehor.png,rehor_bernard.png,aligned_different,True
29,41-test-trial-30,different,0.5,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
30,42-test-trial-31,different,2.9000000000000004,edita_debra.png,edita_edita.png,misaligned_same,False
31,43-test-trial-32,different,2.4000000000000004,josef_maxim.png,maxim_josef.png,aligned_different,True
32,44-test-trial-33,different,0.7999999999999998,aurel_cenek.png,aurel_aurel.png,aligned_same,False
33,45-test-trial-34,different,1.5,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
34,46-test-trial-35,different,5.2,elena_eleanora.png,elena_elena.png,misaligned_same,False
35,47-test-trial-36,different,4.0,carol_brenda.png,carol_carol.png,aligned_same,False
