,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.8999999999999995,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
1,13-test-trial-2,same,2.4000000000000004,vladena_margita.png,margita_vladena.png,misaligned_different,False
2,14-test-trial-3,same,5.0,viktoria_perla.png,perla_viktoria.png,aligned_different,False
3,15-test-trial-4,different,3.4,dominik_hynek.png,dominik_dominik.png,aligned_same,False
4,16-test-trial-5,different,2.8000000000000003,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
5,17-test-trial-6,same,1.4,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
6,18-test-trial-7,same,0.7000000000000002,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
7,19-test-trial-8,same,1.4999999999999996,linda_jindriska.png,jindriska_linda.png,aligned_different,False
8,20-test-trial-9,same,1.1999999999999997,viola_peggy.png,viola_viola.png,misaligned_same,True
9,21-test-trial-10,same,1.0,elena_eleanora.png,elena_elena.png,aligned_same,True
10,22-test-trial-11,same,0.09999999999999964,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
11,23-test-trial-12,same,0.7999999999999998,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
12,24-test-trial-13,same,1.0,peggy_peggy.png,peggy_viola.png,aligned_same,True
13,25-test-trial-14,same,1.9000000000000004,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
14,26-test-trial-15,same,12.4,justin_vasil.png,vasil_justin.png,aligned_different,False
15,27-test-trial-16,different,2.5999999999999996,saskie_milota.png,milota_saskie.png,misaligned_different,True
16,28-test-trial-17,same,1.2999999999999998,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
17,29-test-trial-18,same,2.7,carol_brenda.png,carol_carol.png,misaligned_same,True
18,30-test-trial-19,same,3.5999999999999996,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
19,31-test-trial-20,different,1.4,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
20,32-test-trial-21,same,2.1999999999999993,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
21,33-test-trial-22,same,1.5,stela_lea.png,stela_stela.png,misaligned_same,True
22,34-test-trial-23,different,2.2,edita_debra.png,debra_edita.png,aligned_different,True
23,35-test-trial-24,different,1.2999999999999998,josef_maxim.png,maxim_josef.png,misaligned_different,True
24,36-test-trial-25,same,1.1,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
25,37-test-trial-26,same,1.9000000000000004,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
26,38-test-trial-27,same,3.9000000000000004,lea_lea.png,lea_stela.png,aligned_same,True
27,39-test-trial-28,same,1.9000000000000004,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
28,40-test-trial-29,different,2.7,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
29,41-test-trial-30,different,3.7,prokop_prokop.png,prokop_elias.png,aligned_same,False
30,42-test-trial-31,same,0.1999999999999993,elias_prokop.png,elias_elias.png,misaligned_same,True
31,43-test-trial-32,same,1.5999999999999996,bernard_rehor.png,bernard_bernard.png,aligned_same,True
32,44-test-trial-33,different,7.699999999999999,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
33,45-test-trial-34,same,3.0999999999999996,brenda_brenda.png,brenda_carol.png,aligned_same,True
34,46-test-trial-35,same,0.5,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
35,47-test-trial-36,different,3.2,miriama_livia.png,livia_miriama.png,misaligned_different,True
