,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.62,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
1,13-test-trial-2,same,4.279999999999999,vladena_margita.png,margita_vladena.png,aligned_different,False
2,14-test-trial-3,same,1.0300000000000002,rehor_rehor.png,rehor_bernard.png,aligned_same,True
3,15-test-trial-4,same,1.7199999999999998,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,False
4,16-test-trial-5,different,5.3100000000000005,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
5,17-test-trial-6,different,5.21,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
6,18-test-trial-7,different,5.289999999999999,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
7,19-test-trial-8,same,4.15,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
8,20-test-trial-9,same,4.18,lea_lea.png,lea_stela.png,aligned_same,True
9,21-test-trial-10,same,7.33,vasil_vasil.png,vasil_justin.png,aligned_same,True
10,22-test-trial-11,different,5.280000000000001,aurel_cenek.png,cenek_aurel.png,aligned_different,True
11,23-test-trial-12,different,1.1099999999999999,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
12,24-test-trial-13,different,0.4099999999999997,livia_livia.png,livia_miriama.png,aligned_same,False
13,25-test-trial-14,same,5.699999999999999,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
14,26-test-trial-15,same,1.3200000000000003,carol_brenda.png,brenda_carol.png,misaligned_different,False
15,27-test-trial-16,same,7.27,miriama_livia.png,miriama_miriama.png,misaligned_same,True
16,28-test-trial-17,same,5.6,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
17,29-test-trial-18,same,1.0199999999999996,debra_debra.png,debra_edita.png,aligned_same,True
18,30-test-trial-19,different,11.83,elias_prokop.png,elias_elias.png,aligned_same,False
19,31-test-trial-20,same,3.3599999999999994,viola_peggy.png,viola_viola.png,misaligned_same,True
20,32-test-trial-21,same,3.679999999999999,maxim_maxim.png,maxim_josef.png,aligned_same,True
21,33-test-trial-22,same,8.33,saskie_milota.png,milota_saskie.png,aligned_different,False
22,34-test-trial-23,same,0.8099999999999996,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
23,35-test-trial-24,same,4.58,stela_lea.png,stela_stela.png,misaligned_same,True
24,36-test-trial-25,same,27.78,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,False
25,37-test-trial-26,same,8.77,justin_vasil.png,justin_justin.png,misaligned_same,True
26,38-test-trial-27,same,11.53,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
27,39-test-trial-28,different,4.47,lumir_vladislav.png,lumir_lumir.png,aligned_same,False
28,40-test-trial-29,same,8.34,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
29,41-test-trial-30,same,4.72,peggy_peggy.png,peggy_viola.png,aligned_same,True
30,42-test-trial-31,same,3.26,linda_jindriska.png,linda_linda.png,aligned_same,True
31,43-test-trial-32,same,16.450000000000003,josef_maxim.png,josef_josef.png,misaligned_same,True
32,44-test-trial-33,same,1.4300000000000006,edita_debra.png,edita_edita.png,misaligned_same,True
33,45-test-trial-34,same,0.20000000000000018,prokop_prokop.png,prokop_elias.png,misaligned_same,True
34,46-test-trial-35,different,3.3600000000000003,viktoria_perla.png,perla_viktoria.png,aligned_different,True
35,47-test-trial-36,different,5.01,elena_eleanora.png,elena_elena.png,aligned_same,False
