,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,17.04,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
1,13-test-trial-2,same,3.99,elias_prokop.png,prokop_elias.png,misaligned_different,False
2,14-test-trial-3,same,2.04,vladena_margita.png,vladena_vladena.png,misaligned_same,True
3,15-test-trial-4,same,4.1,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
4,16-test-trial-5,different,3.5900000000000003,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,False
5,17-test-trial-6,different,1.63,linda_jindriska.png,linda_linda.png,aligned_same,False
6,18-test-trial-7,different,10.790000000000001,hynek_hynek.png,hynek_dominik.png,misaligned_same,False
7,19-test-trial-8,different,3.3400000000000003,ursula_sidonia.png,ursula_ursula.png,aligned_same,False
8,20-test-trial-9,different,1.7300000000000004,stela_lea.png,lea_stela.png,misaligned_different,True
9,21-test-trial-10,different,0.6000000000000001,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
10,22-test-trial-11,different,3.5999999999999996,debra_debra.png,debra_edita.png,misaligned_same,False
11,23-test-trial-12,same,5.069999999999999,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
12,24-test-trial-13,different,3.2899999999999996,brenda_brenda.png,brenda_carol.png,aligned_same,False
13,25-test-trial-14,different,2.45,margita_margita.png,margita_vladena.png,aligned_same,False
14,26-test-trial-15,same,12.41,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
15,27-test-trial-16,different,7.87,miriama_livia.png,livia_miriama.png,misaligned_different,True
16,28-test-trial-17,different,18.52,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,False
17,29-test-trial-18,different,5.25,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
18,30-test-trial-19,different,15.27,saskie_milota.png,saskie_saskie.png,misaligned_same,False
19,31-test-trial-20,same,24.139999999999997,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
20,32-test-trial-21,same,8.31,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
21,33-test-trial-22,same,1.7399999999999998,edita_debra.png,edita_edita.png,aligned_same,True
22,34-test-trial-23,same,14.239999999999998,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
23,35-test-trial-24,different,5.9,viola_peggy.png,peggy_viola.png,aligned_different,True
24,36-test-trial-25,different,1.8600000000000003,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
25,37-test-trial-26,same,1.4300000000000002,elena_eleanora.png,eleanora_elena.png,aligned_different,False
26,38-test-trial-27,same,4.84,bernard_rehor.png,rehor_bernard.png,aligned_different,False
27,39-test-trial-28,same,5.1,dominik_hynek.png,dominik_dominik.png,aligned_same,True
28,40-test-trial-29,same,9.239999999999998,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
29,41-test-trial-30,same,2.1599999999999997,josef_maxim.png,maxim_josef.png,misaligned_different,False
30,42-test-trial-31,same,2.24,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
31,43-test-trial-32,same,15.350000000000001,carol_brenda.png,carol_carol.png,misaligned_same,True
32,44-test-trial-33,same,4.01,milota_milota.png,milota_saskie.png,aligned_same,True
33,45-test-trial-34,same,1.75,aurel_cenek.png,aurel_aurel.png,aligned_same,True
34,46-test-trial-35,same,1.2200000000000002,vasil_vasil.png,vasil_justin.png,aligned_same,True
35,47-test-trial-36,same,0.8999999999999999,justin_vasil.png,justin_justin.png,misaligned_same,True
