,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,13.0,rehor_rehor.png,rehor_bernard.png,aligned_same,True
1,13-test-trial-2,same,2.2,vladena_margita.png,margita_vladena.png,misaligned_different,False
2,14-test-trial-3,same,1.5,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
3,15-test-trial-4,same,1.5,carol_brenda.png,carol_carol.png,aligned_same,True
4,16-test-trial-5,same,0.7000000000000002,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
5,17-test-trial-6,same,1.7999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
6,18-test-trial-7,same,1.7999999999999998,elena_eleanora.png,elena_elena.png,misaligned_same,True
7,19-test-trial-8,same,1.3000000000000003,debra_debra.png,debra_edita.png,misaligned_same,True
8,20-test-trial-9,same,1.8000000000000003,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
9,21-test-trial-10,different,6.500000000000001,dominik_hynek.png,hynek_dominik.png,aligned_different,True
10,22-test-trial-11,different,8.5,viola_peggy.png,viola_viola.png,aligned_same,False
11,23-test-trial-12,different,3.3,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
12,24-test-trial-13,same,2.22,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
13,25-test-trial-14,same,1.7000000000000002,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
14,26-test-trial-15,different,1.6999999999999997,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
15,27-test-trial-16,same,1.9,milota_milota.png,milota_saskie.png,aligned_same,True
16,28-test-trial-17,same,2.4000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
17,29-test-trial-18,different,2.0999999999999996,lumir_vladislav.png,lumir_lumir.png,aligned_same,False
18,30-test-trial-19,same,19.099999999999998,peggy_peggy.png,peggy_viola.png,misaligned_same,True
19,31-test-trial-20,same,5.3999999999999995,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
20,32-test-trial-21,different,7.410000000000001,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
21,33-test-trial-22,different,1.7000000000000002,edita_debra.png,edita_edita.png,aligned_same,False
22,34-test-trial-23,different,6.2,oleg_tichomir.png,oleg_oleg.png,misaligned_same,False
23,35-test-trial-24,different,0.8000000000000003,justin_vasil.png,vasil_justin.png,misaligned_different,True
24,36-test-trial-25,different,2.9,stela_lea.png,lea_stela.png,aligned_different,True
25,37-test-trial-26,different,2.9,saskie_milota.png,saskie_saskie.png,misaligned_same,False
26,38-test-trial-27,different,3.4099999999999997,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
27,39-test-trial-28,different,0.10000000000000009,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
28,40-test-trial-29,different,2.1000000000000005,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,False
29,41-test-trial-30,different,5.5,josef_maxim.png,maxim_josef.png,aligned_different,True
30,42-test-trial-31,different,0.71,elias_prokop.png,prokop_elias.png,aligned_different,True
31,43-test-trial-32,different,6.3,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
32,44-test-trial-33,different,0.6900000000000004,miriama_livia.png,livia_miriama.png,aligned_different,True
33,45-test-trial-34,different,1.2999999999999998,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
34,46-test-trial-35,different,3.98,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
35,47-test-trial-36,different,4.9,brenda_brenda.png,brenda_carol.png,misaligned_same,False
