,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.799999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
1,13-test-trial-2,same,1.8000000000000003,peggy_peggy.png,peggy_viola.png,aligned_same,True
2,14-test-trial-3,same,1.8000000000000003,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
3,15-test-trial-4,different,2.8000000000000003,linda_jindriska.png,linda_linda.png,misaligned_same,False
4,16-test-trial-5,same,1.4,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
5,17-test-trial-6,different,1.6999999999999997,aurel_cenek.png,aurel_aurel.png,aligned_same,False
6,18-test-trial-7,different,7.1,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
7,19-test-trial-8,different,9.9,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
8,20-test-trial-9,different,2.2,josef_maxim.png,maxim_josef.png,misaligned_different,True
9,21-test-trial-10,different,1.1,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
10,22-test-trial-11,same,2.4000000000000004,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
11,23-test-trial-12,different,1.6999999999999997,margita_margita.png,margita_vladena.png,misaligned_same,False
12,24-test-trial-13,different,1.4999999999999996,vasil_vasil.png,vasil_justin.png,misaligned_same,False
13,25-test-trial-14,different,4.9,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
14,26-test-trial-15,same,1.9,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
15,27-test-trial-16,different,5.0,debra_debra.png,debra_edita.png,misaligned_same,False
16,28-test-trial-17,different,3.9999999999999996,justin_vasil.png,justin_justin.png,aligned_same,False
17,29-test-trial-18,same,1.8000000000000003,miriama_livia.png,livia_miriama.png,misaligned_different,False
18,30-test-trial-19,same,2.8000000000000003,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
19,31-test-trial-20,different,7.5,rehor_rehor.png,rehor_bernard.png,aligned_same,False
20,32-test-trial-21,different,2.0999999999999996,saskie_milota.png,saskie_saskie.png,aligned_same,False
21,33-test-trial-22,different,1.6,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
22,34-test-trial-23,same,2.9999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
23,35-test-trial-24,different,1.9999999999999996,dominik_hynek.png,dominik_dominik.png,aligned_same,False
24,36-test-trial-25,same,1.7999999999999998,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,False
25,37-test-trial-26,different,3.1,elias_prokop.png,prokop_elias.png,aligned_different,True
26,38-test-trial-27,different,1.5,hynek_hynek.png,hynek_dominik.png,misaligned_same,False
27,39-test-trial-28,different,1.5,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
28,40-test-trial-29,same,3.3,viola_peggy.png,viola_viola.png,misaligned_same,True
29,41-test-trial-30,same,2.3000000000000003,carol_brenda.png,brenda_carol.png,aligned_different,False
30,42-test-trial-31,different,1.5999999999999996,stela_lea.png,lea_stela.png,aligned_different,True
31,43-test-trial-32,different,2.8,bernard_rehor.png,bernard_bernard.png,misaligned_same,False
32,44-test-trial-33,different,0.6999999999999997,milota_milota.png,milota_saskie.png,misaligned_same,False
33,45-test-trial-34,same,1.9999999999999996,edita_debra.png,edita_edita.png,aligned_same,True
34,46-test-trial-35,different,5.0,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
35,47-test-trial-36,same,2.0999999999999996,vladena_margita.png,vladena_vladena.png,aligned_same,True
