,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.7999999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
1,13-test-trial-2,same,0.3999999999999999,viola_peggy.png,viola_viola.png,misaligned_same,True
2,14-test-trial-3,same,6.700000000000001,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
3,15-test-trial-4,different,1.1999999999999997,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
4,16-test-trial-5,different,1.4999999999999996,elena_eleanora.png,eleanora_elena.png,aligned_different,True
5,17-test-trial-6,same,5.800000000000001,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
6,18-test-trial-7,different,3.3000000000000003,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
7,19-test-trial-8,same,0.5,peggy_peggy.png,peggy_viola.png,aligned_same,True
8,20-test-trial-9,different,0.9999999999999996,elias_prokop.png,prokop_elias.png,misaligned_different,True
9,21-test-trial-10,different,1.9999999999999996,miriama_livia.png,livia_miriama.png,aligned_different,True
10,22-test-trial-11,different,0.09999999999999964,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
11,23-test-trial-12,same,3.4,edita_debra.png,edita_edita.png,aligned_same,True
12,24-test-trial-13,different,3.1999999999999997,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
13,25-test-trial-14,different,1.1,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
14,26-test-trial-15,same,13.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
15,27-test-trial-16,different,0.19999999999999973,brenda_brenda.png,brenda_carol.png,aligned_same,False
16,28-test-trial-17,same,0.19999999999999973,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
17,29-test-trial-18,same,0.6999999999999997,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
18,30-test-trial-19,same,2.1,perla_perla.png,perla_viktoria.png,aligned_same,True
19,31-test-trial-20,same,1.1,milota_milota.png,milota_saskie.png,misaligned_same,True
20,32-test-trial-21,same,0.20000000000000018,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
21,33-test-trial-22,same,1.1,debra_debra.png,debra_edita.png,misaligned_same,True
22,34-test-trial-23,same,1.6999999999999997,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
23,35-test-trial-24,same,0.3999999999999999,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
24,36-test-trial-25,same,0.0,saskie_milota.png,saskie_saskie.png,aligned_same,True
25,37-test-trial-26,different,1.9999999999999996,dominik_hynek.png,hynek_dominik.png,aligned_different,True
26,38-test-trial-27,different,0.6999999999999997,vladena_margita.png,margita_vladena.png,misaligned_different,True
27,39-test-trial-28,different,1.4999999999999996,stela_lea.png,lea_stela.png,misaligned_different,True
28,40-test-trial-29,same,0.10000000000000009,carol_brenda.png,carol_carol.png,misaligned_same,True
29,41-test-trial-30,same,0.3999999999999999,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
30,42-test-trial-31,same,1.8000000000000007,rehor_rehor.png,rehor_bernard.png,aligned_same,True
31,43-test-trial-32,same,0.0,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
32,44-test-trial-33,different,2.8000000000000003,justin_vasil.png,vasil_justin.png,misaligned_different,True
33,45-test-trial-34,same,2.1999999999999997,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
34,46-test-trial-35,same,0.5,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
35,47-test-trial-36,different,6.200000000000001,josef_maxim.png,maxim_josef.png,aligned_different,True
