,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.6,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
1,13-test-trial-2,same,2.8,debra_debra.png,debra_edita.png,aligned_same,True
2,14-test-trial-3,same,4.5,lea_lea.png,lea_stela.png,misaligned_same,True
3,15-test-trial-4,same,4.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
4,16-test-trial-5,same,6.700000000000001,viola_peggy.png,peggy_viola.png,misaligned_different,False
5,17-test-trial-6,different,5.199999999999999,stela_lea.png,stela_stela.png,aligned_same,False
6,18-test-trial-7,same,5.9,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
7,19-test-trial-8,different,4.5,elias_prokop.png,elias_elias.png,aligned_same,False
8,20-test-trial-9,same,8.9,josef_maxim.png,josef_josef.png,misaligned_same,True
9,21-test-trial-10,same,1.1999999999999997,maxim_maxim.png,maxim_josef.png,aligned_same,True
10,22-test-trial-11,same,4.5,miriama_livia.png,miriama_miriama.png,misaligned_same,True
11,23-test-trial-12,different,3.8000000000000003,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
12,24-test-trial-13,same,1.5999999999999996,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
13,25-test-trial-14,same,1.2000000000000002,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
14,26-test-trial-15,different,3.1999999999999997,elena_eleanora.png,eleanora_elena.png,aligned_different,True
15,27-test-trial-16,same,1.5999999999999996,vasil_vasil.png,vasil_justin.png,misaligned_same,True
16,28-test-trial-17,different,3.1,aurel_cenek.png,cenek_aurel.png,aligned_different,True
17,29-test-trial-18,same,1.5,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
18,30-test-trial-19,same,0.5,linda_jindriska.png,linda_linda.png,misaligned_same,True
19,31-test-trial-20,different,1.6099999999999999,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
20,32-test-trial-21,same,8.01,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
21,33-test-trial-22,same,4.2,milota_milota.png,milota_saskie.png,aligned_same,True
22,34-test-trial-23,same,2.0,prokop_prokop.png,prokop_elias.png,misaligned_same,True
23,35-test-trial-24,same,0.19999999999999973,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
24,36-test-trial-25,same,1.0,justin_vasil.png,justin_justin.png,aligned_same,True
25,37-test-trial-26,same,1.4,brenda_brenda.png,brenda_carol.png,misaligned_same,True
26,38-test-trial-27,same,1.6,livia_livia.png,livia_miriama.png,aligned_same,True
27,39-test-trial-28,same,0.6999999999999997,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
28,40-test-trial-29,same,0.6999999999999997,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
29,41-test-trial-30,different,2.8,dominik_hynek.png,hynek_dominik.png,aligned_different,True
30,42-test-trial-31,different,3.1999999999999997,vladena_margita.png,margita_vladena.png,aligned_different,True
31,43-test-trial-32,same,2.4000000000000004,saskie_milota.png,saskie_saskie.png,misaligned_same,True
32,44-test-trial-33,different,1.9999999999999996,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
33,45-test-trial-34,same,0.8900000000000001,carol_brenda.png,carol_carol.png,aligned_same,True
34,46-test-trial-35,different,2.9,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
35,47-test-trial-36,same,2.1,edita_debra.png,edita_edita.png,misaligned_same,True
