,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,9.3,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
1,13-test-trial-2,different,35.6,rehor_rehor.png,rehor_bernard.png,aligned_same,False
2,14-test-trial-3,different,4.8,edita_debra.png,debra_edita.png,aligned_different,True
3,15-test-trial-4,different,18.099999999999998,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,False
4,16-test-trial-5,different,8.0,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
5,17-test-trial-6,different,3.1,stela_lea.png,lea_stela.png,aligned_different,True
6,18-test-trial-7,same,20.9,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
7,19-test-trial-8,same,35.4,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
8,20-test-trial-9,different,3.5,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
9,21-test-trial-10,same,22.7,livia_livia.png,livia_miriama.png,misaligned_same,True
10,22-test-trial-11,same,20.6,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
11,23-test-trial-12,different,9.2,vladena_margita.png,margita_vladena.png,aligned_different,True
12,24-test-trial-13,same,58.0,maxim_maxim.png,maxim_josef.png,aligned_same,True
13,25-test-trial-14,different,9.2,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
14,26-test-trial-15,different,8.3,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
15,27-test-trial-16,same,23.6,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
16,28-test-trial-17,different,27.0,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
17,29-test-trial-18,different,13.1,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
18,30-test-trial-19,same,23.2,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
19,31-test-trial-20,same,10.4,viola_peggy.png,viola_viola.png,misaligned_same,True
20,32-test-trial-21,different,14.1,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,False
21,33-test-trial-22,same,6.2,josef_maxim.png,josef_josef.png,misaligned_same,True
22,34-test-trial-23,different,9.7,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
23,35-test-trial-24,different,10.9,justin_vasil.png,vasil_justin.png,misaligned_different,True
24,36-test-trial-25,same,15.6,carol_brenda.png,carol_carol.png,misaligned_same,True
25,37-test-trial-26,different,0.6999999999999997,peggy_peggy.png,peggy_viola.png,aligned_same,False
26,38-test-trial-27,same,2.0999999999999996,milota_milota.png,milota_saskie.png,aligned_same,True
27,39-test-trial-28,different,9.1,perla_perla.png,perla_viktoria.png,misaligned_same,False
28,40-test-trial-29,different,9.0,elena_eleanora.png,eleanora_elena.png,misaligned_different,True
29,41-test-trial-30,same,16.099999999999998,miriama_livia.png,miriama_miriama.png,aligned_same,True
30,42-test-trial-31,different,3.0,aurel_cenek.png,cenek_aurel.png,aligned_different,True
31,43-test-trial-32,same,1.1,saskie_milota.png,saskie_saskie.png,misaligned_same,True
32,44-test-trial-33,different,0.8999999999999999,bernard_rehor.png,bernard_bernard.png,misaligned_same,False
33,45-test-trial-34,same,0.7000000000000002,brenda_brenda.png,brenda_carol.png,aligned_same,True
34,46-test-trial-35,same,3.0,elias_prokop.png,prokop_elias.png,aligned_different,False
35,47-test-trial-36,same,2.1999999999999997,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
