,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
1,13-test-trial-2,same,5.699999999999999,saskie_milota.png,saskie_saskie.png,misaligned_same,True
2,14-test-trial-3,different,2.0,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
3,15-test-trial-4,different,1.2000000000000002,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
4,16-test-trial-5,different,1.2000000000000002,vladena_margita.png,margita_vladena.png,aligned_different,True
5,17-test-trial-6,different,3.0999999999999996,miriama_livia.png,livia_miriama.png,aligned_different,True
6,18-test-trial-7,same,7.4,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
7,19-test-trial-8,same,0.8999999999999999,debra_debra.png,debra_edita.png,aligned_same,True
8,20-test-trial-9,different,5.1,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
9,21-test-trial-10,different,4.4,josef_maxim.png,maxim_josef.png,aligned_different,True
10,22-test-trial-11,same,1.799999999999999,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
11,23-test-trial-12,same,1.2000000000000002,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
12,24-test-trial-13,same,0.3999999999999999,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
13,25-test-trial-14,same,1.4,justin_vasil.png,justin_justin.png,misaligned_same,True
14,26-test-trial-15,same,7.300000000000001,perla_perla.png,perla_viktoria.png,misaligned_same,True
15,27-test-trial-16,same,4.5,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
16,28-test-trial-17,different,3.7,stela_lea.png,lea_stela.png,misaligned_different,True
17,29-test-trial-18,same,4.5,viola_peggy.png,peggy_viola.png,misaligned_different,False
18,30-test-trial-19,different,2.2,aurel_cenek.png,cenek_aurel.png,aligned_different,True
19,31-test-trial-20,same,7.6,vasil_vasil.png,vasil_justin.png,aligned_same,True
20,32-test-trial-21,same,0.7999999999999998,linda_jindriska.png,linda_linda.png,misaligned_same,True
21,33-test-trial-22,same,0.6000000000000001,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
22,34-test-trial-23,same,0.3999999999999999,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
23,35-test-trial-24,same,1.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
24,36-test-trial-25,same,0.3999999999999999,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
25,37-test-trial-26,different,0.7999999999999998,elias_prokop.png,prokop_elias.png,misaligned_different,True
26,38-test-trial-27,same,2.7,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
27,39-test-trial-28,same,0.3999999999999999,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
28,40-test-trial-29,same,0.10000000000000009,milota_milota.png,milota_saskie.png,aligned_same,True
29,41-test-trial-30,same,1.2999999999999998,elena_eleanora.png,elena_elena.png,aligned_same,True
30,42-test-trial-31,same,2.1999999999999993,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
31,43-test-trial-32,same,0.2999999999999998,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
32,44-test-trial-33,same,2.2,edita_debra.png,edita_edita.png,misaligned_same,True
33,45-test-trial-34,same,0.8999999999999999,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
34,46-test-trial-35,same,0.20000000000000018,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
35,47-test-trial-36,different,3.3,carol_brenda.png,brenda_carol.png,aligned_different,True
