,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.0,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
1,13-test-trial-2,same,5.199999999999999,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
2,14-test-trial-3,same,7.200000000000001,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
3,15-test-trial-4,different,4.0,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
4,16-test-trial-5,different,12.3,linda_jindriska.png,jindriska_linda.png,aligned_different,True
5,17-test-trial-6,different,1.19,edita_debra.png,edita_edita.png,aligned_same,False
6,18-test-trial-7,different,5.0,stela_lea.png,lea_stela.png,aligned_different,True
7,19-test-trial-8,same,2.2,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
8,20-test-trial-9,same,0.6000000000000001,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
9,21-test-trial-10,same,20.689999999999998,livia_livia.png,livia_miriama.png,aligned_same,True
10,22-test-trial-11,same,0.7000000000000002,carol_brenda.png,carol_carol.png,aligned_same,True
11,23-test-trial-12,same,0.7999999999999998,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
12,24-test-trial-13,different,1.1,vladena_margita.png,margita_vladena.png,misaligned_different,True
13,25-test-trial-14,different,0.5,elias_prokop.png,prokop_elias.png,aligned_different,True
14,26-test-trial-15,different,2.5999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
15,27-test-trial-16,same,0.7999999999999998,brenda_brenda.png,brenda_carol.png,misaligned_same,True
16,28-test-trial-17,same,0.0,maxim_maxim.png,maxim_josef.png,misaligned_same,True
17,29-test-trial-18,different,1.4999999999999996,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
18,30-test-trial-19,same,1.0,saskie_milota.png,saskie_saskie.png,misaligned_same,True
19,31-test-trial-20,different,0.0,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
20,32-test-trial-21,different,0.5899999999999999,justin_vasil.png,vasil_justin.png,aligned_different,True
21,33-test-trial-22,same,3.7,milota_milota.png,milota_saskie.png,aligned_same,True
22,34-test-trial-23,same,0.5,elena_eleanora.png,elena_elena.png,misaligned_same,True
23,35-test-trial-24,different,1.2999999999999998,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
24,36-test-trial-25,same,0.19999999999999973,debra_debra.png,debra_edita.png,misaligned_same,True
25,37-test-trial-26,same,0.8999999999999999,henrich_tomasi.png,henrich_henrich.png,aligned_same,True
26,38-test-trial-27,same,1.1999999999999997,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
27,39-test-trial-28,same,1.1,viola_peggy.png,peggy_viola.png,misaligned_different,False
28,40-test-trial-29,different,1.5999999999999996,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
29,41-test-trial-30,different,1.2000000000000002,hynek_hynek.png,hynek_dominik.png,aligned_same,False
30,42-test-trial-31,different,2.4000000000000004,josef_maxim.png,josef_josef.png,aligned_same,False
31,43-test-trial-32,different,4.2,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
32,44-test-trial-33,same,0.6000000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
33,45-test-trial-34,same,2.9,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
34,46-test-trial-35,same,0.8999999999999999,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
35,47-test-trial-36,same,4.7,miriama_livia.png,miriama_miriama.png,misaligned_same,True
