,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,8.899999999999999,viola_peggy.png,peggy_viola.png,aligned_different,True
1,13-test-trial-2,same,6.1000000000000005,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
2,14-test-trial-3,different,4.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,False
3,15-test-trial-4,different,4.0,cenek_cenek.png,cenek_aurel.png,aligned_same,False
4,16-test-trial-5,different,3.0000000000000004,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,False
5,17-test-trial-6,different,1.5000000000000004,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
6,18-test-trial-7,different,1.8099999999999996,elias_prokop.png,prokop_elias.png,aligned_different,True
7,19-test-trial-8,different,12.4,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
8,20-test-trial-9,different,2.1000000000000005,edita_debra.png,debra_edita.png,misaligned_different,True
9,21-test-trial-10,same,7.4,josef_maxim.png,josef_josef.png,aligned_same,True
10,22-test-trial-11,different,9.2,elena_eleanora.png,elena_elena.png,aligned_same,False
11,23-test-trial-12,same,6.869999999999999,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
12,24-test-trial-13,same,1.6899999999999995,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
13,25-test-trial-14,same,3.4,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
14,26-test-trial-15,different,6.1,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
15,27-test-trial-16,different,33.0,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
16,28-test-trial-17,same,2.5999999999999996,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
17,29-test-trial-18,same,4.9,dominik_hynek.png,hynek_dominik.png,aligned_different,False
18,30-test-trial-19,same,0.5,margita_margita.png,margita_vladena.png,misaligned_same,True
19,31-test-trial-20,same,5.2,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
20,32-test-trial-21,same,0.20000000000000018,justin_vasil.png,justin_justin.png,misaligned_same,True
21,33-test-trial-22,different,3.91,brenda_brenda.png,brenda_carol.png,aligned_same,False
22,34-test-trial-23,same,3.3,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
23,35-test-trial-24,different,2.8,bernard_rehor.png,rehor_bernard.png,aligned_different,True
24,36-test-trial-25,different,4.5,miriama_livia.png,miriama_miriama.png,aligned_same,False
25,37-test-trial-26,same,5.699999999999999,linda_jindriska.png,linda_linda.png,misaligned_same,True
26,38-test-trial-27,same,2.1999999999999997,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
27,39-test-trial-28,same,6.6,carol_brenda.png,carol_carol.png,misaligned_same,True
28,40-test-trial-29,same,3.7,vasil_vasil.png,vasil_justin.png,aligned_same,True
29,41-test-trial-30,same,4.8,vladena_margita.png,vladena_vladena.png,aligned_same,True
30,42-test-trial-31,same,5.69,saskie_milota.png,milota_saskie.png,misaligned_different,False
31,43-test-trial-32,same,3.1000000000000005,livia_livia.png,livia_miriama.png,misaligned_same,True
32,44-test-trial-33,different,4.7,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
33,45-test-trial-34,different,3.1000000000000005,stela_lea.png,lea_stela.png,aligned_different,True
34,46-test-trial-35,same,4.8100000000000005,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
35,47-test-trial-36,same,3.8999999999999995,maxim_maxim.png,maxim_josef.png,misaligned_same,True
