,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.9000000000000004,carol_brenda.png,carol_carol.png,aligned_same,False
1,13-test-trial-2,different,4.699999999999999,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
2,14-test-trial-3,same,5.800000000000001,vasil_vasil.png,vasil_justin.png,misaligned_same,True
3,15-test-trial-4,same,7.300000000000001,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
4,16-test-trial-5,different,4.5,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
5,17-test-trial-6,same,1.8000000000000003,saskie_milota.png,milota_saskie.png,misaligned_different,False
6,18-test-trial-7,same,3.4999999999999996,aurel_cenek.png,aurel_aurel.png,aligned_same,True
7,19-test-trial-8,different,1.2999999999999998,miriama_livia.png,livia_miriama.png,misaligned_different,True
8,20-test-trial-9,same,1.6,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
9,21-test-trial-10,same,2.8000000000000003,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
10,22-test-trial-11,same,0.5,viola_peggy.png,viola_viola.png,misaligned_same,True
11,23-test-trial-12,different,2.4,justin_vasil.png,justin_justin.png,aligned_same,False
12,24-test-trial-13,different,0.5,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
13,25-test-trial-14,different,0.6000000000000001,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
14,26-test-trial-15,different,2.1,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
15,27-test-trial-16,different,1.4,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
16,28-test-trial-17,same,3.3000000000000003,rehor_rehor.png,rehor_bernard.png,aligned_same,True
17,29-test-trial-18,same,2.4999999999999996,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
18,30-test-trial-19,same,1.1999999999999997,lea_lea.png,lea_stela.png,aligned_same,True
19,31-test-trial-20,different,8.8,edita_debra.png,debra_edita.png,misaligned_different,True
20,32-test-trial-21,same,0.8999999999999995,elias_prokop.png,elias_elias.png,misaligned_same,True
21,33-test-trial-22,same,10.700000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
22,34-test-trial-23,same,5.9,margita_margita.png,margita_vladena.png,aligned_same,True
23,35-test-trial-24,same,0.8999999999999999,brenda_brenda.png,brenda_carol.png,misaligned_same,True
24,36-test-trial-25,different,7.5,josef_maxim.png,maxim_josef.png,misaligned_different,True
25,37-test-trial-26,different,6.4,prokop_prokop.png,prokop_elias.png,aligned_same,False
26,38-test-trial-27,different,1.9,viktoria_perla.png,perla_viktoria.png,aligned_different,True
27,39-test-trial-28,different,5.5,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
28,40-test-trial-29,same,1.8000000000000003,stela_lea.png,stela_stela.png,misaligned_same,True
29,41-test-trial-30,different,5.300000000000001,dominik_hynek.png,hynek_dominik.png,aligned_different,True
30,42-test-trial-31,same,0.7000000000000002,elena_eleanora.png,elena_elena.png,misaligned_same,True
31,43-test-trial-32,same,0.7999999999999998,peggy_peggy.png,peggy_viola.png,aligned_same,True
32,44-test-trial-33,different,2.1999999999999997,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
33,45-test-trial-34,same,2.6999999999999997,vladena_margita.png,vladena_vladena.png,misaligned_same,True
34,46-test-trial-35,different,3.9,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
35,47-test-trial-36,same,1.4999999999999996,linda_jindriska.png,linda_linda.png,misaligned_same,True
