,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.6,henrich_tomasi.png,tomasi_henrich.png,aligned_different,False
1,13-test-trial-2,same,1.7000000000000002,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
2,14-test-trial-3,same,1.1,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,False
3,15-test-trial-4,different,1.9,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
4,16-test-trial-5,different,2.1999999999999997,viktoria_perla.png,perla_viktoria.png,aligned_different,True
5,17-test-trial-6,different,4.4,bernard_rehor.png,rehor_bernard.png,aligned_different,True
6,18-test-trial-7,same,1.1999999999999997,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
7,19-test-trial-8,different,3.8,aurel_cenek.png,aurel_aurel.png,aligned_same,False
8,20-test-trial-9,same,5.0,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
9,21-test-trial-10,same,1.7000000000000002,miriama_livia.png,miriama_miriama.png,misaligned_same,True
10,22-test-trial-11,different,1.4,josef_maxim.png,josef_josef.png,aligned_same,False
11,23-test-trial-12,different,2.3,hynek_hynek.png,hynek_dominik.png,aligned_same,False
12,24-test-trial-13,different,7.700000000000001,livia_livia.png,livia_miriama.png,aligned_same,False
13,25-test-trial-14,same,1.5999999999999996,stela_lea.png,stela_stela.png,misaligned_same,True
14,26-test-trial-15,different,3.3,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
15,27-test-trial-16,different,4.8,elias_prokop.png,elias_elias.png,aligned_same,False
16,28-test-trial-17,same,0.7999999999999998,vladena_margita.png,vladena_vladena.png,misaligned_same,True
17,29-test-trial-18,different,4.5,debra_debra.png,debra_edita.png,aligned_same,False
18,30-test-trial-19,,,lea_lea.png,lea_stela.png,aligned_same,
19,30-test-trial-19-repeat-1,different,1.1,lea_lea.png,lea_stela.png,aligned_same,False
20,31-test-trial-20,different,4.7,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
21,32-test-trial-21,different,4.5,justin_vasil.png,justin_justin.png,aligned_same,False
22,33-test-trial-22,different,2.7,maxim_maxim.png,maxim_josef.png,misaligned_same,False
23,34-test-trial-23,same,5.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
24,35-test-trial-24,same,4.5,linda_jindriska.png,linda_linda.png,misaligned_same,True
25,36-test-trial-25,same,9.4,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
26,37-test-trial-26,different,7.699999999999999,saskie_milota.png,milota_saskie.png,aligned_different,True
27,38-test-trial-27,same,12.2,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
28,39-test-trial-28,different,4.8,carol_brenda.png,brenda_carol.png,misaligned_different,True
29,40-test-trial-29,same,1.9,margita_margita.png,margita_vladena.png,aligned_same,True
30,41-test-trial-30,same,1.8000000000000003,vasil_vasil.png,vasil_justin.png,misaligned_same,True
31,42-test-trial-31,same,1.6,viola_peggy.png,peggy_viola.png,aligned_different,False
32,43-test-trial-32,different,3.4000000000000004,prokop_prokop.png,prokop_elias.png,misaligned_same,False
33,44-test-trial-33,different,3.2,edita_debra.png,edita_edita.png,misaligned_same,False
34,45-test-trial-34,different,3.3,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,False
35,46-test-trial-35,same,1.0999999999999996,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,False
36,47-test-trial-36,different,2.0,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
