,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.4899999999999993,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
1,13-test-trial-2,same,5.109999999999999,bernard_rehor.png,rehor_bernard.png,misaligned_different,False
2,14-test-trial-3,same,11.59,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
3,15-test-trial-4,same,1.5000000000000009,prokop_prokop.png,prokop_elias.png,aligned_same,True
4,16-test-trial-5,different,6.91,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
5,17-test-trial-6,same,10.489999999999998,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
6,18-test-trial-7,same,2.9000000000000004,lea_lea.png,lea_stela.png,misaligned_same,True
7,19-test-trial-8,same,1.69,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
8,20-test-trial-9,same,2.1900000000000004,stela_lea.png,stela_stela.png,aligned_same,True
9,21-test-trial-10,same,11.41,linda_jindriska.png,linda_linda.png,misaligned_same,True
10,22-test-trial-11,same,3.2,margita_margita.png,margita_vladena.png,misaligned_same,True
11,23-test-trial-12,same,7.3999999999999995,justin_vasil.png,justin_justin.png,aligned_same,True
12,24-test-trial-13,same,4.59,carol_brenda.png,carol_carol.png,misaligned_same,True
13,25-test-trial-14,same,7.8,elias_prokop.png,elias_elias.png,misaligned_same,True
14,26-test-trial-15,,,andrej_drahomir.png,andrej_andrej.png,aligned_same,
15,26-test-trial-15-repeat-1,different,,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
16,27-test-trial-16,same,3.8999999999999995,brenda_brenda.png,brenda_carol.png,aligned_same,True
17,28-test-trial-17,different,5.7,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
18,29-test-trial-18,different,,elena_eleanora.png,eleanora_elena.png,aligned_different,True
19,30-test-trial-19,different,6.799999999999999,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
20,31-test-trial-20,different,2.8000000000000003,perla_perla.png,perla_viktoria.png,misaligned_same,False
21,32-test-trial-21,different,7.209999999999999,vladena_margita.png,vladena_vladena.png,aligned_same,False
22,33-test-trial-22,different,14.8,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,False
23,34-test-trial-23,different,2.6899999999999995,saskie_milota.png,milota_saskie.png,misaligned_different,True
24,35-test-trial-24,,,miriama_livia.png,livia_miriama.png,misaligned_different,
25,35-test-trial-24-repeat-1,different,2.4999999999999996,miriama_livia.png,livia_miriama.png,misaligned_different,True
26,36-test-trial-25,different,5.9,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
27,37-test-trial-26,,,vasil_vasil.png,vasil_justin.png,misaligned_same,
28,37-test-trial-26-repeat-1,different,,vasil_vasil.png,vasil_justin.png,misaligned_same,False
29,38-test-trial-27,different,4.1000000000000005,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
30,39-test-trial-28,,,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,
31,39-test-trial-28-repeat-1,different,5.8999999999999995,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
32,40-test-trial-29,different,12.11,edita_debra.png,debra_edita.png,aligned_different,True
33,41-test-trial-30,,,dominik_hynek.png,hynek_dominik.png,aligned_different,
34,41-test-trial-30-repeat-1,different,2.0,dominik_hynek.png,hynek_dominik.png,aligned_different,True
35,42-test-trial-31,different,2.8000000000000007,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,False
36,43-test-trial-32,different,5.91,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
37,44-test-trial-33,different,1.4000000000000004,jindriska_jindriska.png,jindriska_linda.png,aligned_same,False
