,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.299999999999999,livia_livia.png,livia_miriama.png,misaligned_same,False
1,13-test-trial-2,same,12.5,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
2,14-test-trial-3,same,3.9899999999999998,josef_maxim.png,josef_josef.png,misaligned_same,True
3,15-test-trial-4,different,4.8,aurel_cenek.png,cenek_aurel.png,aligned_different,True
4,16-test-trial-5,different,2.7,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
5,17-test-trial-6,same,1.5000000000000004,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
6,18-test-trial-7,different,0.5099999999999998,saskie_milota.png,milota_saskie.png,aligned_different,True
7,19-test-trial-8,same,1.5099999999999998,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,True
8,20-test-trial-9,different,0.7000000000000002,carol_brenda.png,brenda_carol.png,misaligned_different,True
9,21-test-trial-10,different,1.0999999999999996,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
10,22-test-trial-11,different,1.6999999999999993,viola_peggy.png,peggy_viola.png,misaligned_different,True
11,23-test-trial-12,same,1.2000000000000002,miriama_livia.png,miriama_miriama.png,aligned_same,True
12,24-test-trial-13,same,12.89,perla_perla.png,perla_viktoria.png,aligned_same,True
13,25-test-trial-14,different,3.4999999999999996,debra_debra.png,debra_edita.png,misaligned_same,False
14,26-test-trial-15,different,0.71,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
15,27-test-trial-16,different,1.1,dominik_hynek.png,hynek_dominik.png,aligned_different,True
16,28-test-trial-17,same,1.4,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
17,29-test-trial-18,different,0.71,vladena_margita.png,margita_vladena.png,aligned_different,True
18,30-test-trial-19,different,0.2999999999999998,maxim_maxim.png,maxim_josef.png,aligned_same,False
19,31-test-trial-20,different,2.3900000000000006,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
20,32-test-trial-21,same,0.20000000000000018,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
21,33-test-trial-22,different,3.4999999999999996,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
22,34-test-trial-23,same,0.7999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
23,35-test-trial-24,same,2.8,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
24,36-test-trial-25,same,3.8099999999999996,lumir_vladislav.png,lumir_lumir.png,aligned_same,True
25,37-test-trial-26,different,1.5,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
26,38-test-trial-27,same,0.7999999999999998,prokop_prokop.png,prokop_elias.png,misaligned_same,True
27,39-test-trial-28,same,1.0,elias_prokop.png,elias_elias.png,aligned_same,True
28,40-test-trial-29,same,0.20000000000000018,elena_eleanora.png,elena_elena.png,misaligned_same,True
29,41-test-trial-30,different,0.2999999999999998,edita_debra.png,edita_edita.png,aligned_same,False
30,42-test-trial-31,same,2.4000000000000004,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
31,43-test-trial-32,same,1.4,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
32,44-test-trial-33,same,1.9000000000000004,justin_vasil.png,vasil_justin.png,misaligned_different,False
33,45-test-trial-34,same,9.2,lea_lea.png,lea_stela.png,misaligned_same,True
34,46-test-trial-35,same,8.5,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
35,47-test-trial-36,same,14.0,stela_lea.png,stela_stela.png,aligned_same,True
