,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.1999999999999997,prokop_prokop.png,prokop_elias.png,misaligned_same,True
1,13-test-trial-2,same,1.81,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
2,14-test-trial-3,same,4.8,peggy_peggy.png,peggy_viola.png,misaligned_same,True
3,15-test-trial-4,same,2.2,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
4,16-test-trial-5,same,1.1999999999999997,carol_brenda.png,carol_carol.png,misaligned_same,True
5,17-test-trial-6,same,0.5,stela_lea.png,stela_stela.png,aligned_same,True
6,18-test-trial-7,same,0.6999999999999997,elias_prokop.png,elias_elias.png,aligned_same,True
7,19-test-trial-8,same,0.6000000000000001,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
8,20-test-trial-9,same,0.6000000000000001,rehor_rehor.png,rehor_bernard.png,aligned_same,True
9,21-test-trial-10,same,1.4,elena_eleanora.png,eleanora_elena.png,aligned_different,False
10,22-test-trial-11,same,1.0,debra_debra.png,debra_edita.png,aligned_same,True
11,23-test-trial-12,same,1.1,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
12,24-test-trial-13,same,1.5,viola_peggy.png,viola_viola.png,aligned_same,True
13,25-test-trial-14,same,4.7,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
14,26-test-trial-15,same,2.6,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
15,27-test-trial-16,same,1.5,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
16,28-test-trial-17,same,9.5,miriama_livia.png,livia_miriama.png,misaligned_different,False
17,29-test-trial-18,same,6.6,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
18,30-test-trial-19,same,1.1999999999999997,lea_lea.png,lea_stela.png,misaligned_same,True
19,31-test-trial-20,same,0.19999999999999973,dominik_hynek.png,hynek_dominik.png,aligned_different,False
20,32-test-trial-21,same,0.6999999999999997,brenda_brenda.png,brenda_carol.png,aligned_same,True
21,33-test-trial-22,same,0.6000000000000001,justin_vasil.png,vasil_justin.png,misaligned_different,False
22,34-test-trial-23,different,16.0,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
23,35-test-trial-24,same,21.9,cenek_cenek.png,cenek_aurel.png,aligned_same,True
24,36-test-trial-25,same,0.2999999999999998,saskie_milota.png,milota_saskie.png,misaligned_different,False
25,37-test-trial-26,different,5.0,linda_jindriska.png,jindriska_linda.png,misaligned_different,True
26,38-test-trial-27,same,2.3999999999999995,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
27,39-test-trial-28,different,2.4,josef_maxim.png,maxim_josef.png,misaligned_different,True
28,40-test-trial-29,same,2.3,edita_debra.png,edita_edita.png,misaligned_same,True
29,41-test-trial-30,different,8.3,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
30,42-test-trial-31,same,47.3,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
31,43-test-trial-32,same,3.8,lumir_vladislav.png,vladislav_lumir.png,aligned_different,False
32,44-test-trial-33,different,34.4,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
33,45-test-trial-34,different,3.2,viktoria_perla.png,perla_viktoria.png,aligned_different,True
34,46-test-trial-35,same,4.75,margita_margita.png,margita_vladena.png,misaligned_same,True
35,47-test-trial-36,same,0.7999999999999998,vladena_margita.png,vladena_vladena.png,aligned_same,True
