,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,2.6999999999999997,livia_livia.png,livia_miriama.png,misaligned_same,True
1,13-test-trial-2,same,0.7999999999999998,margita_margita.png,margita_vladena.png,aligned_same,True
2,14-test-trial-3,same,0.7000000000000002,perla_perla.png,perla_viktoria.png,aligned_same,True
3,15-test-trial-4,different,7.9,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
4,16-test-trial-5,same,11.1,justin_vasil.png,justin_justin.png,misaligned_same,True
5,17-test-trial-6,different,3.7,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
6,18-test-trial-7,same,7.1,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
7,19-test-trial-8,same,4.199999999999999,vladena_margita.png,vladena_vladena.png,misaligned_same,True
8,20-test-trial-9,same,1.7000000000000002,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
9,21-test-trial-10,same,1.7999999999999998,rehor_rehor.png,rehor_bernard.png,aligned_same,True
10,22-test-trial-11,same,2.1,edita_debra.png,edita_edita.png,aligned_same,True
11,23-test-trial-12,same,5.4,linda_jindriska.png,linda_linda.png,misaligned_same,True
12,24-test-trial-13,different,6.1,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
13,25-test-trial-14,same,0.19999999999999973,peggy_peggy.png,peggy_viola.png,misaligned_same,True
14,26-test-trial-15,same,6.6,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
15,27-test-trial-16,different,8.0,saskie_milota.png,milota_saskie.png,misaligned_different,True
16,28-test-trial-17,different,1.4,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
17,29-test-trial-18,different,7.0,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
18,30-test-trial-19,same,1.2000000000000002,josef_maxim.png,josef_josef.png,misaligned_same,True
19,31-test-trial-20,same,2.4,debra_debra.png,debra_edita.png,misaligned_same,True
20,32-test-trial-21,different,4.5,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
21,33-test-trial-22,different,2.0,carol_brenda.png,brenda_carol.png,misaligned_different,True
22,34-test-trial-23,different,4.800000000000001,elias_prokop.png,prokop_elias.png,aligned_different,True
23,35-test-trial-24,same,5.7,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
24,36-test-trial-25,same,1.6,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
25,37-test-trial-26,different,4.3,stela_lea.png,lea_stela.png,aligned_different,True
26,38-test-trial-27,same,2.3999999999999995,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
27,39-test-trial-28,different,3.4999999999999996,elena_eleanora.png,eleanora_elena.png,aligned_different,True
28,40-test-trial-29,same,2.3000000000000003,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
29,41-test-trial-30,same,2.9,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
30,42-test-trial-31,different,4.0,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
31,43-test-trial-32,same,12.7,vasil_vasil.png,vasil_justin.png,aligned_same,True
32,44-test-trial-33,same,0.20000000000000018,maxim_maxim.png,maxim_josef.png,aligned_same,True
33,45-test-trial-34,same,1.0,miriama_livia.png,miriama_miriama.png,aligned_same,True
34,46-test-trial-35,same,0.2999999999999998,viola_peggy.png,viola_viola.png,aligned_same,True
35,47-test-trial-36,different,4.9,aurel_cenek.png,aurel_aurel.png,aligned_same,False
