,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,11.899999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
1,13-test-trial-2,different,2.1999999999999997,carol_brenda.png,brenda_carol.png,misaligned_different,True
2,14-test-trial-3,different,12.0,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
3,15-test-trial-4,same,5.700000000000001,vladena_margita.png,vladena_vladena.png,misaligned_same,True
4,16-test-trial-5,same,9.9,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
5,17-test-trial-6,same,1.6,lea_lea.png,lea_stela.png,aligned_same,True
6,18-test-trial-7,different,10.9,dominik_hynek.png,hynek_dominik.png,aligned_different,True
7,19-test-trial-8,different,3.3000000000000003,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,False
8,20-test-trial-9,same,3.8000000000000003,vasil_vasil.png,vasil_justin.png,aligned_same,True
9,21-test-trial-10,same,3.3,saskie_milota.png,milota_saskie.png,aligned_different,False
10,22-test-trial-11,different,6.5,edita_debra.png,debra_edita.png,aligned_different,True
11,23-test-trial-12,same,7.1,stela_lea.png,stela_stela.png,misaligned_same,True
12,24-test-trial-13,same,1.7000000000000002,bernard_rehor.png,bernard_bernard.png,aligned_same,True
13,25-test-trial-14,same,3.6999999999999997,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
14,26-test-trial-15,same,5.6,prokop_prokop.png,prokop_elias.png,misaligned_same,True
15,27-test-trial-16,same,9.3,livia_livia.png,livia_miriama.png,aligned_same,True
16,28-test-trial-17,same,0.2999999999999998,cenek_cenek.png,cenek_aurel.png,aligned_same,True
17,29-test-trial-18,different,40.91,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,False
18,30-test-trial-19,same,3.4,elias_prokop.png,elias_elias.png,aligned_same,True
19,31-test-trial-20,same,1.1999999999999997,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
20,32-test-trial-21,different,2.5,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
21,33-test-trial-22,same,14.299999999999999,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
22,34-test-trial-23,different,8.6,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
23,35-test-trial-24,same,1.8000000000000003,justin_vasil.png,justin_justin.png,misaligned_same,True
24,36-test-trial-25,same,6.3999999999999995,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
25,37-test-trial-26,same,8.200000000000001,viola_peggy.png,viola_viola.png,aligned_same,True
26,38-test-trial-27,same,3.6,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
27,39-test-trial-28,same,4.6,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
28,40-test-trial-29,same,1.6999999999999997,linda_jindriska.png,linda_linda.png,aligned_same,True
29,41-test-trial-30,same,7.5,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
30,42-test-trial-31,same,5.5,peggy_peggy.png,peggy_viola.png,misaligned_same,True
31,43-test-trial-32,same,0.8999999999999999,josef_maxim.png,josef_josef.png,misaligned_same,True
32,44-test-trial-33,same,12.2,maxim_maxim.png,maxim_josef.png,aligned_same,True
33,45-test-trial-34,different,13.4,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
34,46-test-trial-35,same,7.300000000000001,miriama_livia.png,miriama_miriama.png,misaligned_same,True
35,47-test-trial-36,same,1.8000000000000003,margita_margita.png,margita_vladena.png,aligned_same,True
