,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,1.3000000000000007,aurel_cenek.png,cenek_aurel.png,aligned_different,True
1,13-test-trial-2,different,1.9,saskie_milota.png,saskie_saskie.png,aligned_same,False
2,14-test-trial-3,same,0.7999999999999998,debra_debra.png,debra_edita.png,misaligned_same,True
3,15-test-trial-4,different,3.9,carol_brenda.png,brenda_carol.png,misaligned_different,True
4,16-test-trial-5,same,9.8,perla_perla.png,perla_viktoria.png,misaligned_same,True
5,17-test-trial-6,same,2.8000000000000003,maxim_maxim.png,maxim_josef.png,aligned_same,True
6,18-test-trial-7,different,3.6,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
7,19-test-trial-8,different,5.9,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
8,20-test-trial-9,same,5.5,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
9,21-test-trial-10,same,6.0,elena_eleanora.png,elena_elena.png,misaligned_same,True
10,22-test-trial-11,different,6.6,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
11,23-test-trial-12,same,10.5,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
12,24-test-trial-13,different,2.6999999999999997,livia_livia.png,livia_miriama.png,aligned_same,False
13,25-test-trial-14,different,0.9000000000000004,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
14,26-test-trial-15,different,6.0,linda_jindriska.png,jindriska_linda.png,aligned_different,True
15,27-test-trial-16,different,4.800000000000001,vladena_margita.png,margita_vladena.png,aligned_different,True
16,28-test-trial-17,same,2.1,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
17,29-test-trial-18,same,3.4999999999999996,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
18,30-test-trial-19,different,1.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
19,31-test-trial-20,same,8.610000000000001,milota_milota.png,milota_saskie.png,misaligned_same,True
20,32-test-trial-21,same,3.9000000000000004,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
21,33-test-trial-22,same,4.1,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
22,34-test-trial-23,different,3.4999999999999996,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,False
23,35-test-trial-24,different,2.4,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
24,36-test-trial-25,different,0.7999999999999998,stela_lea.png,lea_stela.png,misaligned_different,True
25,37-test-trial-26,same,3.3,miriama_livia.png,miriama_miriama.png,misaligned_same,True
26,38-test-trial-27,different,7.1,viola_peggy.png,peggy_viola.png,aligned_different,True
27,39-test-trial-28,different,9.8,dominik_hynek.png,dominik_dominik.png,aligned_same,False
28,40-test-trial-29,different,2.6999999999999997,bernard_rehor.png,rehor_bernard.png,aligned_different,True
29,41-test-trial-30,different,2.0,justin_vasil.png,vasil_justin.png,aligned_different,True
30,42-test-trial-31,same,2.200000000000001,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
31,43-test-trial-32,same,6.700000000000001,josef_maxim.png,josef_josef.png,misaligned_same,True
32,44-test-trial-33,same,0.0,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,False
33,45-test-trial-34,same,0.19999999999999973,edita_debra.png,edita_edita.png,aligned_same,True
34,46-test-trial-35,different,3.4,lumir_vladislav.png,lumir_lumir.png,aligned_same,False
35,47-test-trial-36,different,2.4,elias_prokop.png,prokop_elias.png,misaligned_different,True
