,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,7.4,milota_milota.png,milota_saskie.png,misaligned_same,True
1,13-test-trial-2,different,7.4,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
2,14-test-trial-3,different,2.5,viktoria_perla.png,perla_viktoria.png,aligned_different,True
3,15-test-trial-4,same,2.5999999999999996,margita_margita.png,margita_vladena.png,misaligned_same,True
4,16-test-trial-5,different,1.4999999999999996,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
5,17-test-trial-6,same,9.3,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
6,18-test-trial-7,same,12.6,linda_jindriska.png,linda_linda.png,aligned_same,True
7,19-test-trial-8,same,7.1,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
8,20-test-trial-9,different,3.9000000000000004,carol_brenda.png,brenda_carol.png,misaligned_different,True
9,21-test-trial-10,different,4.3,elias_prokop.png,prokop_elias.png,aligned_different,True
10,22-test-trial-11,same,7.6,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
11,23-test-trial-12,different,1.4999999999999996,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
12,24-test-trial-13,same,3.5999999999999996,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
13,25-test-trial-14,same,2.9999999999999996,saskie_milota.png,saskie_saskie.png,aligned_same,True
14,26-test-trial-15,same,4.5,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
15,27-test-trial-16,different,1.4,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
16,28-test-trial-17,same,1.5,miriama_livia.png,miriama_miriama.png,misaligned_same,True
17,29-test-trial-18,same,3.4000000000000004,elena_eleanora.png,elena_elena.png,aligned_same,True
18,30-test-trial-19,different,2.3,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
19,31-test-trial-20,different,9.0,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,False
20,32-test-trial-21,same,14.0,vladena_margita.png,vladena_vladena.png,aligned_same,True
21,33-test-trial-22,same,5.5,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
22,34-test-trial-23,different,2.3,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
23,35-test-trial-24,different,6.800000000000001,viola_peggy.png,peggy_viola.png,misaligned_different,True
24,36-test-trial-25,different,5.8,livia_livia.png,livia_miriama.png,aligned_same,False
25,37-test-trial-26,different,4.9,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
26,38-test-trial-27,same,2.9000000000000004,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
27,39-test-trial-28,different,16.5,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
28,40-test-trial-29,different,16.4,aurel_cenek.png,aurel_aurel.png,aligned_same,False
29,41-test-trial-30,same,11.3,josef_maxim.png,josef_josef.png,misaligned_same,True
30,42-test-trial-31,different,5.699999999999999,edita_debra.png,debra_edita.png,aligned_different,True
31,43-test-trial-32,different,11.9,vasil_vasil.png,vasil_justin.png,aligned_same,False
32,44-test-trial-33,same,9.7,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
33,45-test-trial-34,same,1.9,justin_vasil.png,justin_justin.png,misaligned_same,True
34,46-test-trial-35,different,10.5,maxim_maxim.png,maxim_josef.png,aligned_same,False
35,47-test-trial-36,different,1.4,stela_lea.png,lea_stela.png,aligned_different,True
