,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,7.0,andrej_drahomir.png,andrej_andrej.png,aligned_same,False
1,13-test-trial-2,same,1.9,carol_brenda.png,carol_carol.png,aligned_same,True
2,14-test-trial-3,same,4.0,brenda_brenda.png,brenda_carol.png,misaligned_same,True
3,15-test-trial-4,same,3.1,rehor_rehor.png,rehor_bernard.png,aligned_same,True
4,16-test-trial-5,different,3.9,edita_debra.png,debra_edita.png,aligned_different,True
5,17-test-trial-6,same,1.5,aurel_cenek.png,aurel_aurel.png,aligned_same,True
6,18-test-trial-7,same,1.1999999999999997,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
7,19-test-trial-8,same,1.4,peggy_peggy.png,peggy_viola.png,aligned_same,True
8,20-test-trial-9,different,2.5000000000000004,perla_perla.png,perla_viktoria.png,aligned_same,False
9,21-test-trial-10,same,3.7,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
10,22-test-trial-11,different,4.0,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
11,23-test-trial-12,same,5.800000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
12,24-test-trial-13,same,5.800000000000001,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
13,25-test-trial-14,different,2.4,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
14,26-test-trial-15,same,2.5999999999999996,josef_maxim.png,josef_josef.png,misaligned_same,True
15,27-test-trial-16,different,2.1,linda_jindriska.png,jindriska_linda.png,aligned_different,True
16,28-test-trial-17,same,2.0999999999999996,margita_margita.png,margita_vladena.png,misaligned_same,True
17,29-test-trial-18,different,4.6,justin_vasil.png,vasil_justin.png,aligned_different,True
18,30-test-trial-19,same,2.1999999999999997,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
19,31-test-trial-20,same,3.9999999999999996,viola_peggy.png,viola_viola.png,misaligned_same,True
20,32-test-trial-21,different,4.4,elias_prokop.png,prokop_elias.png,misaligned_different,True
21,33-test-trial-22,same,2.9000000000000004,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
22,34-test-trial-23,same,7.199999999999999,livia_livia.png,livia_miriama.png,misaligned_same,True
23,35-test-trial-24,different,7.200000000000001,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
24,36-test-trial-25,same,3.6999999999999997,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
25,37-test-trial-26,same,2.6999999999999997,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
26,38-test-trial-27,same,5.6,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
27,39-test-trial-28,different,3.5,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
28,40-test-trial-29,different,2.1999999999999997,elena_eleanora.png,eleanora_elena.png,aligned_different,True
29,41-test-trial-30,same,8.2,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
30,42-test-trial-31,same,1.3000000000000003,vladena_margita.png,vladena_vladena.png,aligned_same,True
31,43-test-trial-32,same,0.8999999999999999,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
32,44-test-trial-33,different,2.3000000000000003,miriama_livia.png,miriama_miriama.png,aligned_same,False
33,45-test-trial-34,same,4.199999999999999,maxim_maxim.png,maxim_josef.png,aligned_same,True
34,46-test-trial-35,different,4.5,stela_lea.png,lea_stela.png,misaligned_different,True
35,47-test-trial-36,different,3.8,saskie_milota.png,milota_saskie.png,misaligned_different,True
