,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,7.01,perla_perla.png,perla_viktoria.png,misaligned_same,False
1,13-test-trial-2,different,5.35,elias_prokop.png,prokop_elias.png,aligned_different,True
2,14-test-trial-3,different,4.25,viola_peggy.png,peggy_viola.png,misaligned_different,True
3,15-test-trial-4,same,4.33,josef_maxim.png,maxim_josef.png,aligned_different,False
4,16-test-trial-5,same,13.12,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
5,17-test-trial-6,different,5.3100000000000005,miriama_livia.png,livia_miriama.png,aligned_different,True
6,18-test-trial-7,different,6.029999999999999,carol_brenda.png,carol_carol.png,misaligned_same,False
7,19-test-trial-8,different,2.53,aurel_cenek.png,aurel_aurel.png,misaligned_same,False
8,20-test-trial-9,different,7.39,cenek_cenek.png,cenek_aurel.png,aligned_same,False
9,21-test-trial-10,different,7.09,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
10,22-test-trial-11,,,margita_margita.png,margita_vladena.png,aligned_same,
11,22-test-trial-11-repeat-1,different,15.009999999999998,margita_margita.png,margita_vladena.png,aligned_same,False
12,23-test-trial-12,different,3.79,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
13,24-test-trial-13,different,4.5,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
14,25-test-trial-14,same,19.5,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
15,26-test-trial-15,same,14.74,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,True
16,27-test-trial-16,different,7.01,milota_milota.png,milota_saskie.png,aligned_same,False
17,28-test-trial-17,different,3.97,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
18,29-test-trial-18,different,3.8799999999999994,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
19,30-test-trial-19,different,2.7800000000000002,justin_vasil.png,justin_justin.png,aligned_same,False
20,31-test-trial-20,same,7.670000000000001,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
21,32-test-trial-21,different,9.0,vladena_margita.png,vladena_vladena.png,misaligned_same,False
22,33-test-trial-22,different,7.42,stela_lea.png,lea_stela.png,aligned_different,True
23,34-test-trial-23,different,2.4899999999999998,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
24,35-test-trial-24,different,6.340000000000001,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
25,36-test-trial-25,same,6.76,edita_debra.png,debra_edita.png,misaligned_different,False
26,37-test-trial-26,different,5.880000000000001,brenda_brenda.png,brenda_carol.png,aligned_same,False
27,38-test-trial-27,different,4.41,vasil_vasil.png,vasil_justin.png,misaligned_same,False
28,39-test-trial-28,same,15.759999999999998,saskie_milota.png,saskie_saskie.png,misaligned_same,True
29,40-test-trial-29,different,5.9399999999999995,jindriska_jindriska.png,jindriska_linda.png,aligned_same,False
30,41-test-trial-30,different,13.22,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
31,42-test-trial-31,different,3.1599999999999997,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
32,43-test-trial-32,different,1.23,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
33,44-test-trial-33,different,6.280000000000001,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
34,45-test-trial-34,different,2.9800000000000004,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,False
35,46-test-trial-35,different,2.95,dominik_hynek.png,hynek_dominik.png,aligned_different,True
36,47-test-trial-36,same,12.66,linda_jindriska.png,linda_linda.png,misaligned_same,True
