,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.0,saskie_milota.png,saskie_saskie.png,misaligned_same,True
1,13-test-trial-2,same,1.0,ursula_sidonia.png,sidonia_ursula.png,aligned_different,False
2,14-test-trial-3,same,0.6999999999999997,brenda_brenda.png,brenda_carol.png,aligned_same,True
3,15-test-trial-4,same,0.5999999999999996,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
4,16-test-trial-5,same,0.2999999999999998,viola_peggy.png,viola_viola.png,misaligned_same,True
5,17-test-trial-6,same,1.0,vasil_vasil.png,vasil_justin.png,aligned_same,True
6,18-test-trial-7,different,0.6999999999999997,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
7,19-test-trial-8,same,1.6999999999999997,edita_debra.png,edita_edita.png,aligned_same,True
8,20-test-trial-9,different,4.3,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
9,21-test-trial-10,same,9.4,peggy_peggy.png,peggy_viola.png,aligned_same,True
10,22-test-trial-11,same,4.800000000000001,miriama_livia.png,miriama_miriama.png,misaligned_same,True
11,23-test-trial-12,same,10.610000000000001,milota_milota.png,milota_saskie.png,aligned_same,True
12,24-test-trial-13,same,3.1999999999999997,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
13,25-test-trial-14,same,1.0,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
14,26-test-trial-15,same,1.0,livia_livia.png,livia_miriama.png,aligned_same,True
15,27-test-trial-16,same,1.6,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
16,28-test-trial-17,different,1.4999999999999996,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
17,29-test-trial-18,different,6.300000000000001,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
18,30-test-trial-19,same,8.6,carol_brenda.png,carol_carol.png,misaligned_same,True
19,31-test-trial-20,same,1.1999999999999997,maxim_maxim.png,maxim_josef.png,misaligned_same,True
20,32-test-trial-21,different,5.0,stela_lea.png,lea_stela.png,aligned_different,True
21,33-test-trial-22,same,2.4,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
22,34-test-trial-23,same,23.1,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
23,35-test-trial-24,same,9.700000000000001,justin_vasil.png,justin_justin.png,misaligned_same,True
24,36-test-trial-25,same,28.299999999999997,josef_maxim.png,josef_josef.png,aligned_same,True
25,37-test-trial-26,different,0.3999999999999999,vladena_margita.png,margita_vladena.png,misaligned_different,True
26,38-test-trial-27,different,12.600000000000001,elias_prokop.png,prokop_elias.png,aligned_different,True
27,39-test-trial-28,different,6.800000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
28,40-test-trial-29,same,0.09999999999999964,linda_jindriska.png,linda_linda.png,aligned_same,True
29,41-test-trial-30,different,6.200000000000001,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
30,42-test-trial-31,same,7.9,debra_debra.png,debra_edita.png,misaligned_same,True
31,43-test-trial-32,same,13.9,bernard_rehor.png,bernard_bernard.png,aligned_same,True
32,44-test-trial-33,different,1.6999999999999997,dominik_hynek.png,hynek_dominik.png,aligned_different,True
33,45-test-trial-34,different,13.3,elena_eleanora.png,eleanora_elena.png,aligned_different,True
34,46-test-trial-35,same,12.0,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
35,47-test-trial-36,same,32.5,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
