,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.5999999999999996,milota_milota.png,milota_saskie.png,aligned_same,True
1,13-test-trial-2,same,2.2,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
2,14-test-trial-3,same,2.3,maxim_maxim.png,maxim_josef.png,misaligned_same,True
3,15-test-trial-4,same,2.5999999999999996,edita_debra.png,debra_edita.png,misaligned_different,False
4,16-test-trial-5,different,0.0,viola_peggy.png,viola_viola.png,misaligned_same,False
5,17-test-trial-6,different,3.3,elena_eleanora.png,eleanora_elena.png,aligned_different,True
6,18-test-trial-7,same,2.2,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
7,19-test-trial-8,different,13.3,henrich_tomasi.png,henrich_henrich.png,aligned_same,False
8,20-test-trial-9,different,1.5999999999999996,miriama_livia.png,miriama_miriama.png,aligned_same,False
9,21-test-trial-10,different,6.4,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,False
10,22-test-trial-11,same,2.6999999999999993,carol_brenda.png,carol_carol.png,misaligned_same,True
11,23-test-trial-12,different,1.3000000000000003,viktoria_perla.png,perla_viktoria.png,aligned_different,True
12,24-test-trial-13,different,3.5,peggy_peggy.png,peggy_viola.png,aligned_same,False
13,25-test-trial-14,different,3.7,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
14,26-test-trial-15,same,2.3000000000000003,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
15,27-test-trial-16,different,3.5999999999999996,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
16,28-test-trial-17,same,7.1,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
17,29-test-trial-18,different,4.6,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
18,30-test-trial-19,same,1.8000000000000003,bernard_rehor.png,bernard_bernard.png,aligned_same,True
19,31-test-trial-20,same,0.7000000000000002,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
20,32-test-trial-21,same,3.4000000000000004,linda_jindriska.png,linda_linda.png,aligned_same,True
21,33-test-trial-22,different,1.0,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
22,34-test-trial-23,same,0.8999999999999999,saskie_milota.png,saskie_saskie.png,misaligned_same,True
23,35-test-trial-24,different,2.3,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
24,36-test-trial-25,different,1.4,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
25,37-test-trial-26,different,0.7999999999999998,elias_prokop.png,prokop_elias.png,aligned_different,True
26,38-test-trial-27,different,8.1,josef_maxim.png,josef_josef.png,aligned_same,False
27,39-test-trial-28,same,3.6999999999999997,justin_vasil.png,justin_justin.png,misaligned_same,True
28,40-test-trial-29,different,2.0,stela_lea.png,lea_stela.png,aligned_different,True
29,41-test-trial-30,same,4.0,livia_livia.png,livia_miriama.png,misaligned_same,True
30,42-test-trial-31,different,0.40000000000000036,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
31,43-test-trial-32,same,4.1,vasil_vasil.png,vasil_justin.png,aligned_same,True
32,44-test-trial-33,same,1.4000000000000004,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
33,45-test-trial-34,different,1.4999999999999996,vladena_margita.png,margita_vladena.png,misaligned_different,True
34,46-test-trial-35,same,6.9,tomasi_tomasi.png,tomasi_henrich.png,misaligned_same,True
35,47-test-trial-36,same,3.9,brenda_brenda.png,brenda_carol.png,aligned_same,True
