,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.699999999999999,josef_maxim.png,maxim_josef.png,aligned_different,True
1,13-test-trial-2,same,10.9,saskie_milota.png,milota_saskie.png,aligned_different,False
2,14-test-trial-3,different,3.1999999999999997,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
3,15-test-trial-4,same,15.0,hynek_hynek.png,hynek_dominik.png,aligned_same,True
4,16-test-trial-5,different,13.4,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,False
5,17-test-trial-6,different,13.4,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
6,18-test-trial-7,different,4.3,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
7,19-test-trial-8,same,10.4,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,False
8,20-test-trial-9,different,23.5,viola_peggy.png,viola_viola.png,aligned_same,False
9,21-test-trial-10,same,16.0,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
10,22-test-trial-11,different,16.799999999999997,ursula_sidonia.png,ursula_ursula.png,misaligned_same,False
11,23-test-trial-12,different,5.7,lumir_vladislav.png,lumir_lumir.png,misaligned_same,False
12,24-test-trial-13,same,20.099999999999998,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
13,25-test-trial-14,same,6.6,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
14,26-test-trial-15,different,21.0,edita_debra.png,debra_edita.png,misaligned_different,True
15,27-test-trial-16,same,14.5,margita_margita.png,margita_vladena.png,aligned_same,True
16,28-test-trial-17,same,7.5,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,True
17,29-test-trial-18,same,38.8,justin_vasil.png,vasil_justin.png,misaligned_different,False
18,30-test-trial-19,same,6.4,vladena_margita.png,vladena_vladena.png,misaligned_same,True
19,31-test-trial-20,same,9.1,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
20,32-test-trial-21,different,3.5999999999999996,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
21,33-test-trial-22,same,15.3,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
22,34-test-trial-23,same,7.300000000000001,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
23,35-test-trial-24,different,6.800000000000001,carol_brenda.png,carol_carol.png,aligned_same,False
24,36-test-trial-25,different,5.199999999999999,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
25,37-test-trial-26,same,2.3,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
26,38-test-trial-27,same,1.5,bernard_rehor.png,bernard_bernard.png,aligned_same,True
27,39-test-trial-28,different,6.5,peggy_peggy.png,peggy_viola.png,misaligned_same,False
28,40-test-trial-29,different,5.0,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
29,41-test-trial-30,different,3.1,stela_lea.png,lea_stela.png,aligned_different,True
30,42-test-trial-31,same,2.799999999999999,miriama_livia.png,livia_miriama.png,aligned_different,False
31,43-test-trial-32,same,11.0,brenda_brenda.png,brenda_carol.png,misaligned_same,True
32,44-test-trial-33,same,2.9000000000000004,elena_eleanora.png,elena_elena.png,misaligned_same,True
33,45-test-trial-34,different,2.4000000000000004,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
34,46-test-trial-35,different,2.0999999999999996,elias_prokop.png,prokop_elias.png,aligned_different,True
35,47-test-trial-36,different,6.5,aurel_cenek.png,aurel_aurel.png,aligned_same,False
