,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,3.6,elias_prokop.png,prokop_elias.png,misaligned_different,False
1,13-test-trial-2,same,2.7,vladena_margita.png,vladena_vladena.png,misaligned_same,True
2,14-test-trial-3,same,2.21,aurel_cenek.png,aurel_aurel.png,aligned_same,True
3,15-test-trial-4,different,3.6,viktoria_perla.png,perla_viktoria.png,aligned_different,True
4,16-test-trial-5,same,4.2,josef_maxim.png,josef_josef.png,misaligned_same,True
5,17-test-trial-6,same,2.1000000000000005,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
6,18-test-trial-7,different,2.7899999999999996,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
7,19-test-trial-8,same,5.01,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
8,20-test-trial-9,same,1.7000000000000002,saskie_milota.png,saskie_saskie.png,aligned_same,True
9,21-test-trial-10,different,2.7899999999999996,elena_eleanora.png,eleanora_elena.png,aligned_different,True
10,22-test-trial-11,same,4.800000000000001,maxim_maxim.png,maxim_josef.png,aligned_same,True
11,23-test-trial-12,same,2.61,peggy_peggy.png,peggy_viola.png,misaligned_same,True
12,24-test-trial-13,same,5.029999999999999,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
13,25-test-trial-14,different,3.1000000000000005,carol_brenda.png,brenda_carol.png,aligned_different,True
14,26-test-trial-15,different,18.599999999999998,vasil_vasil.png,vasil_justin.png,misaligned_same,False
15,27-test-trial-16,same,17.8,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,False
16,28-test-trial-17,different,12.5,cenek_cenek.png,cenek_aurel.png,misaligned_same,False
17,29-test-trial-18,different,2.9000000000000004,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
18,30-test-trial-19,same,4.7,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
19,31-test-trial-20,same,3.3,margita_margita.png,margita_vladena.png,aligned_same,True
20,32-test-trial-21,different,4.300000000000001,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
21,33-test-trial-22,different,13.1,viola_peggy.png,viola_viola.png,aligned_same,False
22,34-test-trial-23,different,4.5,miriama_livia.png,miriama_miriama.png,aligned_same,False
23,35-test-trial-24,different,3.11,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
24,36-test-trial-25,same,6.000000000000001,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
25,37-test-trial-26,different,5.6,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
26,38-test-trial-27,different,3.1,henrich_tomasi.png,henrich_henrich.png,misaligned_same,False
27,39-test-trial-28,different,10.2,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,False
28,40-test-trial-29,same,10.899999999999999,stela_lea.png,lea_stela.png,misaligned_different,False
29,41-test-trial-30,same,3.4999999999999996,edita_debra.png,debra_edita.png,misaligned_different,False
30,42-test-trial-31,same,12.600000000000001,justin_vasil.png,justin_justin.png,aligned_same,True
31,43-test-trial-32,same,2.3,linda_jindriska.png,linda_linda.png,aligned_same,True
32,44-test-trial-33,same,1.4000000000000004,milota_milota.png,milota_saskie.png,misaligned_same,True
33,45-test-trial-34,different,3.4,dominik_hynek.png,dominik_dominik.png,aligned_same,False
34,46-test-trial-35,same,3.7,livia_livia.png,livia_miriama.png,misaligned_same,True
35,47-test-trial-36,same,6.0,rehor_rehor.png,rehor_bernard.png,aligned_same,True
