,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.5,milota_milota.png,milota_saskie.png,aligned_same,True
1,13-test-trial-2,same,1.33,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
2,14-test-trial-3,same,3.3100000000000005,dominik_hynek.png,hynek_dominik.png,aligned_different,False
3,15-test-trial-4,different,3.46,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
4,16-test-trial-5,same,1.3999999999999995,stela_lea.png,stela_stela.png,aligned_same,True
5,17-test-trial-6,same,1.52,miriama_livia.png,livia_miriama.png,aligned_different,False
6,18-test-trial-7,same,0.9100000000000001,rehor_rehor.png,rehor_bernard.png,aligned_same,True
7,19-test-trial-8,same,3.5,prokop_prokop.png,prokop_elias.png,misaligned_same,True
8,20-test-trial-9,same,0.6999999999999993,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
9,21-test-trial-10,same,2.0599999999999987,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
10,22-test-trial-11,same,0.3099999999999987,vladena_margita.png,margita_vladena.png,aligned_different,False
11,23-test-trial-12,same,3.4299999999999997,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
12,24-test-trial-13,same,1.4000000000000004,carol_brenda.png,carol_carol.png,aligned_same,True
13,25-test-trial-14,same,1.2799999999999976,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
14,26-test-trial-15,same,2.8099999999999996,lea_lea.png,lea_stela.png,misaligned_same,True
15,27-test-trial-16,same,6.09,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
16,28-test-trial-17,same,5.629999999999999,saskie_milota.png,saskie_saskie.png,misaligned_same,True
17,29-test-trial-18,same,1.620000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
18,30-test-trial-19,same,2.75,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
19,31-test-trial-20,same,2.51,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
20,32-test-trial-21,same,0.09999999999999964,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
21,33-test-trial-22,same,5.690000000000001,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
22,34-test-trial-23,same,0.5,edita_debra.png,edita_edita.png,aligned_same,True
23,35-test-trial-24,same,0.9299999999999997,viola_peggy.png,viola_viola.png,aligned_same,True
24,36-test-trial-25,same,4.220000000000001,josef_maxim.png,maxim_josef.png,aligned_different,False
25,37-test-trial-26,same,3.2799999999999994,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
26,38-test-trial-27,same,12.190000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
27,39-test-trial-28,same,2.88,peggy_peggy.png,peggy_viola.png,misaligned_same,True
28,40-test-trial-29,same,5.71,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
29,41-test-trial-30,same,0.20000000000000107,aurel_cenek.png,cenek_aurel.png,aligned_different,False
30,42-test-trial-31,same,2.7199999999999998,elias_prokop.png,elias_elias.png,aligned_same,True
31,43-test-trial-32,same,0.3999999999999986,brenda_brenda.png,brenda_carol.png,misaligned_same,True
32,44-test-trial-33,same,0.5,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
33,45-test-trial-34,same,5.139999999999999,justin_vasil.png,vasil_justin.png,misaligned_different,False
34,46-test-trial-35,same,1.1400000000000006,debra_debra.png,debra_edita.png,misaligned_same,True
35,47-test-trial-36,same,1.1199999999999974,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
