,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,13.7,livia_livia.png,livia_miriama.png,misaligned_same,False
1,13-test-trial-2,different,9.6,debra_debra.png,debra_edita.png,aligned_same,False
2,14-test-trial-3,same,6.0,ursula_sidonia.png,ursula_ursula.png,misaligned_same,True
3,15-test-trial-4,different,9.1,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,False
4,16-test-trial-5,different,9.799999999999999,henrich_tomasi.png,tomasi_henrich.png,aligned_different,True
5,17-test-trial-6,different,23.6,josef_maxim.png,josef_josef.png,misaligned_same,False
6,18-test-trial-7,same,15.1,linda_jindriska.png,jindriska_linda.png,aligned_different,False
7,19-test-trial-8,same,21.0,carol_brenda.png,brenda_carol.png,misaligned_different,False
8,20-test-trial-9,same,20.2,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,False
9,21-test-trial-10,different,3.0000000000000004,bretislav_bystrik.png,bystrik_bretislav.png,aligned_different,True
10,22-test-trial-11,same,7.700000000000001,stela_lea.png,stela_stela.png,misaligned_same,True
11,23-test-trial-12,same,3.9,oleg_tichomir.png,oleg_oleg.png,misaligned_same,True
12,24-test-trial-13,different,20.8,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
13,25-test-trial-14,different,5.6,rehor_rehor.png,rehor_bernard.png,aligned_same,False
14,26-test-trial-15,different,24.8,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
15,27-test-trial-16,same,18.2,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
16,28-test-trial-17,different,37.3,hynek_hynek.png,hynek_dominik.png,misaligned_same,False
17,29-test-trial-18,same,7.4,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
18,30-test-trial-19,different,60.4,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,True
19,31-test-trial-20,same,35.800000000000004,miriama_livia.png,miriama_miriama.png,aligned_same,True
20,32-test-trial-21,different,10.0,edita_debra.png,edita_edita.png,misaligned_same,False
21,33-test-trial-22,same,40.6,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
22,34-test-trial-23,different,18.900000000000002,elias_prokop.png,elias_elias.png,aligned_same,False
23,35-test-trial-24,same,26.2,elena_eleanora.png,elena_elena.png,misaligned_same,True
24,36-test-trial-25,different,6.5,dominik_hynek.png,dominik_dominik.png,aligned_same,False
25,37-test-trial-26,same,3.4,viktoria_perla.png,perla_viktoria.png,aligned_different,False
26,38-test-trial-27,different,6.5,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
27,39-test-trial-28,same,8.9,lea_lea.png,lea_stela.png,aligned_same,True
28,40-test-trial-29,different,11.2,viola_peggy.png,viola_viola.png,aligned_same,False
29,41-test-trial-30,same,6.300000000000001,vladena_margita.png,margita_vladena.png,misaligned_different,False
30,42-test-trial-31,different,4.6,justin_vasil.png,vasil_justin.png,aligned_different,True
31,43-test-trial-32,same,9.0,maxim_maxim.png,maxim_josef.png,aligned_same,True
32,44-test-trial-33,different,11.0,prokop_prokop.png,prokop_elias.png,misaligned_same,False
33,45-test-trial-34,same,7.200000000000001,peggy_peggy.png,peggy_viola.png,misaligned_same,True
34,46-test-trial-35,different,4.6,saskie_milota.png,milota_saskie.png,aligned_different,True
35,47-test-trial-36,same,9.2,tichomir_tichomir.png,tichomir_oleg.png,aligned_same,True
