,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,4.6,carol_brenda.png,brenda_carol.png,aligned_different,True
1,13-test-trial-2,same,6.1,miriama_livia.png,livia_miriama.png,aligned_different,False
2,14-test-trial-3,same,4.4,stela_lea.png,stela_stela.png,misaligned_same,True
3,15-test-trial-4,different,2.5999999999999996,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
4,16-test-trial-5,same,7.6,viola_peggy.png,viola_viola.png,aligned_same,True
5,17-test-trial-6,same,3.0999999999999996,viktoria_perla.png,viktoria_viktoria.png,aligned_same,True
6,18-test-trial-7,same,6.699999999999999,elena_eleanora.png,eleanora_elena.png,misaligned_different,False
7,19-test-trial-8,same,0.3999999999999999,perla_perla.png,perla_viktoria.png,misaligned_same,True
8,20-test-trial-9,same,2.5999999999999996,vasil_vasil.png,vasil_justin.png,misaligned_same,True
9,21-test-trial-10,same,1.2999999999999998,justin_vasil.png,justin_justin.png,aligned_same,True
10,22-test-trial-11,same,4.6,debra_debra.png,debra_edita.png,aligned_same,True
11,23-test-trial-12,same,2.3,josef_maxim.png,maxim_josef.png,aligned_different,False
12,24-test-trial-13,different,3.9000000000000004,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
13,25-test-trial-14,same,4.6,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
14,26-test-trial-15,same,1.7999999999999998,edita_debra.png,edita_edita.png,misaligned_same,True
15,27-test-trial-16,same,0.5,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
16,28-test-trial-17,same,4.0,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
17,29-test-trial-18,same,0.8999999999999999,rehor_rehor.png,rehor_bernard.png,aligned_same,True
18,30-test-trial-19,different,3.7,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
19,31-test-trial-20,same,0.3999999999999999,linda_jindriska.png,linda_linda.png,misaligned_same,True
20,32-test-trial-21,same,13.799999999999999,prokop_prokop.png,prokop_elias.png,aligned_same,True
21,33-test-trial-22,same,5.5,lea_lea.png,lea_stela.png,aligned_same,True
22,34-test-trial-23,same,10.1,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
23,35-test-trial-24,same,0.6000000000000001,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
24,36-test-trial-25,same,2.4000000000000004,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,False
25,37-test-trial-26,different,3.5999999999999996,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
26,38-test-trial-27,different,1.7000000000000002,vladena_margita.png,margita_vladena.png,misaligned_different,True
27,39-test-trial-28,same,5.3,elias_prokop.png,elias_elias.png,misaligned_same,True
28,40-test-trial-29,different,3.5,peggy_peggy.png,peggy_viola.png,misaligned_same,False
29,41-test-trial-30,different,1.0,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
30,42-test-trial-31,same,2.4000000000000004,milota_milota.png,milota_saskie.png,misaligned_same,True
31,43-test-trial-32,same,2.0999999999999996,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
32,44-test-trial-33,same,5.800000000000001,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
33,45-test-trial-34,same,0.5,saskie_milota.png,saskie_saskie.png,aligned_same,True
34,46-test-trial-35,same,1.2999999999999998,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
35,47-test-trial-36,different,2.8,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
