,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,1.0999999999999996,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,True
1,13-test-trial-2,same,2.9099999999999997,margita_margita.png,margita_vladena.png,misaligned_same,True
2,14-test-trial-3,same,1.1,justin_vasil.png,justin_justin.png,misaligned_same,True
3,15-test-trial-4,same,0.6099999999999999,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
4,16-test-trial-5,same,2.9099999999999997,edita_debra.png,debra_edita.png,aligned_different,False
5,17-test-trial-6,same,1.3999999999999995,elias_prokop.png,prokop_elias.png,aligned_different,False
6,18-test-trial-7,same,1.1,carol_brenda.png,brenda_carol.png,misaligned_different,False
7,19-test-trial-8,same,3.52,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
8,20-test-trial-9,same,2.8100000000000005,vasil_vasil.png,vasil_justin.png,aligned_same,True
9,21-test-trial-10,same,1.4,aurel_cenek.png,aurel_aurel.png,aligned_same,True
10,22-test-trial-11,same,2.71,oleg_tichomir.png,tichomir_oleg.png,aligned_different,False
11,23-test-trial-12,same,1.9099999999999997,vladena_margita.png,vladena_vladena.png,aligned_same,True
12,24-test-trial-13,same,4.63,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
13,25-test-trial-14,different,6.219999999999999,saskie_milota.png,milota_saskie.png,misaligned_different,True
14,26-test-trial-15,same,1.8099999999999996,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
15,27-test-trial-16,different,1.5100000000000002,elena_eleanora.png,elena_elena.png,misaligned_same,False
16,28-test-trial-17,same,2.11,hynek_hynek.png,hynek_dominik.png,aligned_same,True
17,29-test-trial-18,different,1.6999999999999997,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,False
18,30-test-trial-19,same,1.81,miriama_livia.png,livia_miriama.png,misaligned_different,False
19,31-test-trial-20,different,2.3099999999999996,bernard_rehor.png,rehor_bernard.png,aligned_different,True
20,32-test-trial-21,different,1.9100000000000001,perla_perla.png,perla_viktoria.png,aligned_same,False
21,33-test-trial-22,different,1.5100000000000002,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,False
22,34-test-trial-23,same,2.2100000000000004,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
23,35-test-trial-24,different,2.72,josef_maxim.png,maxim_josef.png,misaligned_different,True
24,36-test-trial-25,different,1.6100000000000003,eleanora_eleanora.png,eleanora_elena.png,aligned_same,False
25,37-test-trial-26,different,2.5999999999999996,viola_peggy.png,peggy_viola.png,aligned_different,True
26,38-test-trial-27,same,1.6999999999999997,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
27,39-test-trial-28,same,1.9099999999999997,vladislav_vladislav.png,vladislav_lumir.png,misaligned_same,True
28,40-test-trial-29,same,1.0,ramiro_svatopluk.png,svatopluk_ramiro.png,misaligned_different,False
29,41-test-trial-30,different,1.0999999999999996,linda_jindriska.png,linda_linda.png,misaligned_same,False
30,42-test-trial-31,different,2.209999999999999,bystrik_bystrik.png,bystrik_bretislav.png,misaligned_same,False
31,43-test-trial-32,different,8.24,lumir_vladislav.png,lumir_lumir.png,aligned_same,False
32,44-test-trial-33,same,3.9099999999999997,andrej_drahomir.png,andrej_andrej.png,misaligned_same,True
33,45-test-trial-34,different,2.0100000000000002,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
34,46-test-trial-35,different,1.0,bretislav_bystrik.png,bretislav_bretislav.png,aligned_same,False
35,47-test-trial-36,different,2.72,stela_lea.png,lea_stela.png,aligned_different,True
