,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,different,3.299999999999999,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
1,13-test-trial-2,same,8.4,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,False
2,14-test-trial-3,different,5.4,aurel_cenek.png,cenek_aurel.png,misaligned_different,True
3,15-test-trial-4,same,11.0,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
4,16-test-trial-5,same,5.6,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
5,17-test-trial-6,different,10.3,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
6,18-test-trial-7,same,7.6,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
7,19-test-trial-8,different,8.6,edita_debra.png,edita_edita.png,aligned_same,False
8,20-test-trial-9,different,4.4,stela_lea.png,lea_stela.png,misaligned_different,True
9,21-test-trial-10,different,8.5,bernard_rehor.png,rehor_bernard.png,aligned_different,True
10,22-test-trial-11,different,0.8999999999999995,viola_peggy.png,peggy_viola.png,aligned_different,True
11,23-test-trial-12,same,5.4,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
12,24-test-trial-13,different,1.5,vladena_margita.png,margita_vladena.png,misaligned_different,True
13,25-test-trial-14,same,2.4000000000000004,justin_vasil.png,justin_justin.png,misaligned_same,True
14,26-test-trial-15,same,11.4,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
15,27-test-trial-16,different,9.9,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,False
16,28-test-trial-17,different,1.2999999999999998,vasil_vasil.png,vasil_justin.png,aligned_same,False
17,29-test-trial-18,same,4.2,eleanora_eleanora.png,eleanora_elena.png,misaligned_same,True
18,30-test-trial-19,same,6.4,maxim_maxim.png,maxim_josef.png,misaligned_same,True
19,31-test-trial-20,same,1.8000000000000003,milota_milota.png,milota_saskie.png,aligned_same,True
20,32-test-trial-21,same,0.09999999999999964,josef_maxim.png,josef_josef.png,aligned_same,True
21,33-test-trial-22,different,2.0999999999999996,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
22,34-test-trial-23,same,3.8,debra_debra.png,debra_edita.png,misaligned_same,True
23,35-test-trial-24,same,5.800000000000001,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
24,36-test-trial-25,different,5.800000000000001,perla_perla.png,perla_viktoria.png,aligned_same,False
25,37-test-trial-26,different,0.20000000000000018,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
26,38-test-trial-27,different,0.20000000000000018,oleg_tichomir.png,oleg_oleg.png,aligned_same,False
27,39-test-trial-28,different,10.7,livia_livia.png,livia_miriama.png,aligned_same,False
28,40-test-trial-29,same,7.1,miriama_livia.png,miriama_miriama.png,misaligned_same,True
29,41-test-trial-30,same,14.899999999999999,elias_prokop.png,prokop_elias.png,misaligned_different,False
30,42-test-trial-31,same,0.2999999999999998,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
31,43-test-trial-32,same,0.10999999999999988,saskie_milota.png,saskie_saskie.png,misaligned_same,True
32,44-test-trial-33,different,2.3,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
33,45-test-trial-34,different,1.2000000000000002,carol_brenda.png,brenda_carol.png,aligned_different,True
34,46-test-trial-35,different,3.2,elena_eleanora.png,elena_elena.png,aligned_same,False
35,47-test-trial-36,different,1.7999999999999998,linda_jindriska.png,linda_linda.png,misaligned_same,False
