,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.5099999999999998,aurel_cenek.png,aurel_aurel.png,aligned_same,True
1,13-test-trial-2,same,5.42,elena_eleanora.png,eleanora_elena.png,aligned_different,False
2,14-test-trial-3,same,7.220000000000001,vasil_vasil.png,vasil_justin.png,aligned_same,True
3,15-test-trial-4,same,8.12,elias_prokop.png,elias_elias.png,misaligned_same,True
4,16-test-trial-5,same,6.969999999999999,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
5,17-test-trial-6,same,2.05,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
6,18-test-trial-7,different,2.99,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
7,19-test-trial-8,same,2.25,carol_brenda.png,carol_carol.png,aligned_same,True
8,20-test-trial-9,same,3.0700000000000003,dominik_hynek.png,dominik_dominik.png,misaligned_same,True
9,21-test-trial-10,different,3.39,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,False
10,22-test-trial-11,different,0.7200000000000006,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
11,23-test-trial-12,different,1.3200000000000003,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
12,24-test-trial-13,different,1.9299999999999997,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
13,25-test-trial-14,same,2.3699999999999997,vladena_margita.png,vladena_vladena.png,misaligned_same,True
14,26-test-trial-15,same,2.7800000000000002,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
15,27-test-trial-16,same,1.23,lea_lea.png,lea_stela.png,aligned_same,True
16,28-test-trial-17,same,3.8899999999999997,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
17,29-test-trial-18,same,2.1500000000000004,ursula_sidonia.png,ursula_ursula.png,aligned_same,True
18,30-test-trial-19,different,4.6,oleg_tichomir.png,tichomir_oleg.png,misaligned_different,True
19,31-test-trial-20,same,1.54,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
20,32-test-trial-21,different,1.5300000000000002,miriama_livia.png,livia_miriama.png,aligned_different,True
21,33-test-trial-22,different,3.08,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
22,34-test-trial-23,different,7.08,viola_peggy.png,peggy_viola.png,misaligned_different,True
23,35-test-trial-24,same,1.4100000000000001,brenda_brenda.png,brenda_carol.png,misaligned_same,True
24,36-test-trial-25,same,1.9500000000000002,josef_maxim.png,maxim_josef.png,aligned_different,False
25,37-test-trial-26,same,1.2399999999999998,linda_jindriska.png,linda_linda.png,misaligned_same,True
26,38-test-trial-27,different,1.13,edita_debra.png,debra_edita.png,misaligned_different,True
27,39-test-trial-28,same,1.0300000000000002,justin_vasil.png,justin_justin.png,misaligned_same,True
28,40-test-trial-29,different,1.13,saskie_milota.png,milota_saskie.png,misaligned_different,True
29,41-test-trial-30,different,2.55,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,False
30,42-test-trial-31,different,2.8099999999999996,prokop_prokop.png,prokop_elias.png,aligned_same,False
31,43-test-trial-32,different,2.0500000000000003,perla_perla.png,perla_viktoria.png,aligned_same,False
32,44-test-trial-33,different,3.29,hynek_hynek.png,hynek_dominik.png,aligned_same,False
33,45-test-trial-34,same,1.4400000000000004,stela_lea.png,stela_stela.png,misaligned_same,True
34,46-test-trial-35,same,1.33,margita_margita.png,margita_vladena.png,aligned_same,True
35,47-test-trial-36,same,0.71,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
