,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,,,linda_jindriska.png,linda_linda.png,aligned_same,
1,12-test-trial-1-repeat-1,same,49.0,linda_jindriska.png,linda_linda.png,aligned_same,True
2,13-test-trial-2,different,6.5,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
3,14-test-trial-3,different,7.7,elias_prokop.png,elias_elias.png,aligned_same,False
4,15-test-trial-4,different,6.499999999999999,dominik_hynek.png,dominik_dominik.png,misaligned_same,False
5,16-test-trial-5,same,14.700000000000001,saskie_milota.png,milota_saskie.png,misaligned_different,False
6,17-test-trial-6,different,6.9,ursula_sidonia.png,ursula_ursula.png,misaligned_same,False
7,18-test-trial-7,same,13.700000000000001,sidonia_sidonia.png,sidonia_ursula.png,aligned_same,True
8,19-test-trial-8,different,12.700000000000001,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,False
9,20-test-trial-9,different,9.1,lea_lea.png,lea_stela.png,aligned_same,False
10,21-test-trial-10,same,5.5,andrej_drahomir.png,drahomir_andrej.png,aligned_different,False
11,22-test-trial-11,same,33.8,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
12,23-test-trial-12,same,4.9,carol_brenda.png,carol_carol.png,aligned_same,True
13,24-test-trial-13,same,2.0,elena_eleanora.png,elena_elena.png,misaligned_same,True
14,25-test-trial-14,same,5.0,edita_debra.png,debra_edita.png,aligned_different,False
15,26-test-trial-15,different,8.5,viola_peggy.png,peggy_viola.png,aligned_different,True
16,27-test-trial-16,different,5.0,brenda_brenda.png,brenda_carol.png,misaligned_same,False
17,28-test-trial-17,same,1.6999999999999997,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
18,29-test-trial-18,different,2.8000000000000003,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
19,30-test-trial-19,same,5.3,josef_maxim.png,josef_josef.png,misaligned_same,True
20,31-test-trial-20,same,5.6,miriama_livia.png,miriama_miriama.png,misaligned_same,True
21,32-test-trial-21,,,viktoria_perla.png,perla_viktoria.png,misaligned_different,
22,32-test-trial-21-repeat-1,same,7.9,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
23,33-test-trial-22,different,3.4999999999999996,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
24,34-test-trial-23,same,2.1,hynek_hynek.png,hynek_dominik.png,aligned_same,True
25,35-test-trial-24,same,6.6000000000000005,stela_lea.png,stela_stela.png,misaligned_same,True
26,36-test-trial-25,same,48.199999999999996,livia_livia.png,livia_miriama.png,aligned_same,True
27,37-test-trial-26,same,1.3000000000000003,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
28,38-test-trial-27,same,1.0,prokop_prokop.png,prokop_elias.png,misaligned_same,True
29,39-test-trial-28,same,2.9,aurel_cenek.png,cenek_aurel.png,misaligned_different,False
30,40-test-trial-29,same,0.6999999999999997,maxim_maxim.png,maxim_josef.png,aligned_same,True
31,41-test-trial-30,different,3.6,vladena_margita.png,margita_vladena.png,misaligned_different,True
32,42-test-trial-31,same,2.0,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
33,43-test-trial-32,same,4.199999999999999,bernard_rehor.png,rehor_bernard.png,aligned_different,False
34,44-test-trial-33,same,1.7000000000000002,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,False
35,45-test-trial-34,same,2.6,vasil_vasil.png,vasil_justin.png,misaligned_same,True
36,46-test-trial-35,different,9.1,justin_vasil.png,justin_justin.png,aligned_same,False
37,47-test-trial-36,different,2.9,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
