,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,9.860000000000001,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
1,13-test-trial-2,different,11.78,josef_maxim.png,maxim_josef.png,misaligned_different,True
2,14-test-trial-3,same,9.100000000000001,perla_perla.png,perla_viktoria.png,aligned_same,True
3,15-test-trial-4,same,4.4,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
4,16-test-trial-5,same,11.2,bernard_rehor.png,bernard_bernard.png,aligned_same,True
5,17-test-trial-6,same,1.0999999999999996,zelmira_gabriela.png,zelmira_zelmira.png,aligned_same,True
6,18-test-trial-7,same,12.6,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
7,19-test-trial-8,same,3.31,milota_milota.png,milota_saskie.png,misaligned_same,True
8,20-test-trial-9,same,2.7699999999999996,gabriela_gabriela.png,gabriela_zelmira.png,misaligned_same,True
9,21-test-trial-10,same,0.8999999999999999,viola_peggy.png,viola_viola.png,misaligned_same,True
10,22-test-trial-11,same,2.51,ramiro_svatopluk.png,ramiro_ramiro.png,aligned_same,True
11,23-test-trial-12,different,2.8999999999999995,stela_lea.png,lea_stela.png,misaligned_different,True
12,24-test-trial-13,different,10.33,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
13,25-test-trial-14,same,27.0,vladena_margita.png,vladena_vladena.png,aligned_same,True
14,26-test-trial-15,different,4.0,dominik_hynek.png,hynek_dominik.png,aligned_different,True
15,27-test-trial-16,different,4.5,elias_prokop.png,prokop_elias.png,misaligned_different,True
16,28-test-trial-17,different,8.41,edita_debra.png,debra_edita.png,aligned_different,True
17,29-test-trial-18,same,7.9,brenda_brenda.png,brenda_carol.png,aligned_same,True
18,30-test-trial-19,same,4.0,aurel_cenek.png,aurel_aurel.png,misaligned_same,True
19,31-test-trial-20,same,2.6100000000000003,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
20,32-test-trial-21,different,8.5,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
21,33-test-trial-22,same,5.479999999999999,margita_margita.png,margita_vladena.png,misaligned_same,True
22,34-test-trial-23,same,1.4000000000000004,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
23,35-test-trial-24,same,0.40000000000000036,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
24,36-test-trial-25,different,22.7,elena_eleanora.png,eleanora_elena.png,aligned_different,True
25,37-test-trial-26,same,8.11,svatopluk_svatopluk.png,svatopluk_ramiro.png,misaligned_same,True
26,38-test-trial-27,different,11.600000000000001,miriama_livia.png,livia_miriama.png,misaligned_different,True
27,39-test-trial-28,same,13.900000000000002,peggy_peggy.png,peggy_viola.png,aligned_same,True
28,40-test-trial-29,different,14.999999999999998,drahomir_drahomir.png,drahomir_andrej.png,aligned_same,False
29,41-test-trial-30,different,4.2,ursula_sidonia.png,sidonia_ursula.png,aligned_different,True
30,42-test-trial-31,different,0.7999999999999998,andrej_drahomir.png,andrej_andrej.png,misaligned_same,False
31,43-test-trial-32,different,6.8999999999999995,justin_vasil.png,vasil_justin.png,misaligned_different,True
32,44-test-trial-33,different,4.3999999999999995,cenek_cenek.png,cenek_aurel.png,aligned_same,False
33,45-test-trial-34,same,4.9,viktoria_perla.png,viktoria_viktoria.png,misaligned_same,True
34,46-test-trial-35,same,3.0600000000000005,saskie_milota.png,saskie_saskie.png,aligned_same,True
35,47-test-trial-36,different,5.7,carol_brenda.png,carol_carol.png,misaligned_same,False
