,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,23.0,linda_jindriska.png,jindriska_linda.png,misaligned_different,False
1,13-test-trial-2,same,4.71,ramiro_svatopluk.png,ramiro_ramiro.png,misaligned_same,True
2,14-test-trial-3,different,4.49,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
3,15-test-trial-4,same,2.8999999999999995,margita_margita.png,margita_vladena.png,aligned_same,True
4,16-test-trial-5,same,2.3999999999999995,peggy_peggy.png,peggy_viola.png,misaligned_same,True
5,17-test-trial-6,different,12.7,maxim_maxim.png,maxim_josef.png,aligned_same,False
6,18-test-trial-7,same,2.1999999999999997,bystrik_bystrik.png,bystrik_bretislav.png,aligned_same,True
7,19-test-trial-8,different,3.0,andrej_drahomir.png,drahomir_andrej.png,aligned_different,True
8,20-test-trial-9,different,2.3999999999999995,zelmira_gabriela.png,gabriela_zelmira.png,aligned_different,True
9,21-test-trial-10,same,3.1,josef_maxim.png,josef_josef.png,misaligned_same,True
10,22-test-trial-11,same,3.4000000000000004,viola_peggy.png,viola_viola.png,aligned_same,True
11,23-test-trial-12,different,11.489999999999998,aurel_cenek.png,aurel_aurel.png,aligned_same,False
12,24-test-trial-13,different,11.41,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
13,25-test-trial-14,same,6.800000000000001,carol_brenda.png,carol_carol.png,aligned_same,True
14,26-test-trial-15,same,6.8999999999999995,prokop_prokop.png,prokop_elias.png,misaligned_same,True
15,27-test-trial-16,same,11.510000000000002,lea_lea.png,lea_stela.png,aligned_same,True
16,28-test-trial-17,different,9.0,lumir_vladislav.png,vladislav_lumir.png,aligned_different,True
17,29-test-trial-18,same,7.700000000000001,stela_lea.png,stela_stela.png,misaligned_same,True
18,30-test-trial-19,same,19.2,bretislav_bystrik.png,bretislav_bretislav.png,misaligned_same,True
19,31-test-trial-20,different,7.5,viktoria_perla.png,viktoria_viktoria.png,aligned_same,False
20,32-test-trial-21,different,3.7,justin_vasil.png,vasil_justin.png,misaligned_different,True
21,33-test-trial-22,different,2.7,henrich_tomasi.png,tomasi_henrich.png,misaligned_different,True
22,34-test-trial-23,same,7.1000000000000005,livia_livia.png,livia_miriama.png,aligned_same,True
23,35-test-trial-24,different,9.5,saskie_milota.png,milota_saskie.png,misaligned_different,True
24,36-test-trial-25,different,11.1,edita_debra.png,debra_edita.png,aligned_different,True
25,37-test-trial-26,same,3.5,miriama_livia.png,miriama_miriama.png,misaligned_same,True
26,38-test-trial-27,same,7.3,elias_prokop.png,elias_elias.png,aligned_same,True
27,39-test-trial-28,same,2.91,cenek_cenek.png,cenek_aurel.png,misaligned_same,True
28,40-test-trial-29,same,1.4000000000000004,rehor_rehor.png,rehor_bernard.png,aligned_same,True
29,41-test-trial-30,same,1.6099999999999999,vladena_margita.png,vladena_vladena.png,misaligned_same,True
30,42-test-trial-31,same,3.8099999999999996,perla_perla.png,perla_viktoria.png,misaligned_same,True
31,43-test-trial-32,same,20.5,brenda_brenda.png,brenda_carol.png,misaligned_same,True
32,44-test-trial-33,same,7.000000000000001,svatopluk_svatopluk.png,svatopluk_ramiro.png,aligned_same,True
33,45-test-trial-34,different,5.1,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
34,46-test-trial-35,same,1.29,bernard_rehor.png,bernard_bernard.png,misaligned_same,True
35,47-test-trial-36,same,4.0,elena_eleanora.png,eleanora_elena.png,aligned_different,False
