,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,52.7,vladena_margita.png,vladena_vladena.png,aligned_same,True
1,13-test-trial-2,different,9.1,ursula_sidonia.png,ursula_ursula.png,aligned_same,False
2,14-test-trial-3,different,9.7,oleg_tichomir.png,tichomir_oleg.png,aligned_different,True
3,15-test-trial-4,same,7.890000000000001,miriama_livia.png,miriama_miriama.png,aligned_same,True
4,16-test-trial-5,different,6.300000000000001,edita_debra.png,debra_edita.png,aligned_different,True
5,17-test-trial-6,same,4.8,saskie_milota.png,saskie_saskie.png,aligned_same,True
6,18-test-trial-7,same,2.2099999999999995,sidonia_sidonia.png,sidonia_ursula.png,misaligned_same,True
7,19-test-trial-8,same,1.9999999999999996,linda_jindriska.png,linda_linda.png,misaligned_same,True
8,20-test-trial-9,different,21.590000000000003,viola_peggy.png,peggy_viola.png,misaligned_different,True
9,21-test-trial-10,same,4.6,cenek_cenek.png,cenek_aurel.png,aligned_same,True
10,22-test-trial-11,same,8.299999999999999,margita_margita.png,margita_vladena.png,misaligned_same,True
11,23-test-trial-12,same,2.9000000000000004,zelmira_gabriela.png,zelmira_zelmira.png,misaligned_same,True
12,24-test-trial-13,same,7.199999999999999,vasil_vasil.png,vasil_justin.png,misaligned_same,True
13,25-test-trial-14,same,3.3900000000000006,drahomir_drahomir.png,drahomir_andrej.png,misaligned_same,True
14,26-test-trial-15,different,10.200000000000001,elena_eleanora.png,eleanora_elena.png,misaligned_different,True
15,27-test-trial-16,same,0.5,andrej_drahomir.png,andrej_andrej.png,aligned_same,True
16,28-test-trial-17,same,1.8000000000000003,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
17,29-test-trial-18,same,4.6,dominik_hynek.png,dominik_dominik.png,aligned_same,True
18,30-test-trial-19,same,1.4,jindriska_jindriska.png,jindriska_linda.png,aligned_same,True
19,31-test-trial-20,different,1.2000000000000002,carol_brenda.png,brenda_carol.png,aligned_different,True
20,32-test-trial-21,different,5.0,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
21,33-test-trial-22,different,0.7999999999999998,lumir_vladislav.png,vladislav_lumir.png,misaligned_different,True
22,34-test-trial-23,different,0.7999999999999998,bernard_rehor.png,rehor_bernard.png,misaligned_different,True
23,35-test-trial-24,different,0.7999999999999998,aurel_cenek.png,aurel_aurel.png,misaligned_same,False
24,36-test-trial-25,same,0.7999999999999998,justin_vasil.png,justin_justin.png,aligned_same,True
25,37-test-trial-26,same,0.6000000000000001,hynek_hynek.png,hynek_dominik.png,misaligned_same,True
26,38-test-trial-27,same,1.2000000000000002,livia_livia.png,livia_miriama.png,misaligned_same,True
27,39-test-trial-28,same,0.10999999999999988,gabriela_gabriela.png,gabriela_zelmira.png,aligned_same,True
28,40-test-trial-29,different,8.5,elias_prokop.png,prokop_elias.png,aligned_different,True
29,41-test-trial-30,different,0.6999999999999997,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
30,42-test-trial-31,same,2.5999999999999996,josef_maxim.png,josef_josef.png,aligned_same,True
31,43-test-trial-32,different,3.0,stela_lea.png,lea_stela.png,aligned_different,True
32,44-test-trial-33,same,2.8,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,True
33,45-test-trial-34,different,3.3000000000000003,viktoria_perla.png,perla_viktoria.png,misaligned_different,True
34,46-test-trial-35,same,3.5,maxim_maxim.png,maxim_josef.png,misaligned_same,True
35,47-test-trial-36,same,2.2,milota_milota.png,milota_saskie.png,misaligned_same,True
