,trials,choices,durations,left_images,right_images,conditions,accuracies
0,12-test-trial-1,same,0.09999999999999964,eleanora_eleanora.png,eleanora_elena.png,aligned_same,True
1,13-test-trial-2,different,0.7999999999999998,elias_prokop.png,prokop_elias.png,aligned_different,True
2,14-test-trial-3,different,1.1,stela_lea.png,lea_stela.png,aligned_different,True
3,15-test-trial-4,same,5.1,henrich_tomasi.png,henrich_henrich.png,misaligned_same,True
4,16-test-trial-5,different,1.2999999999999998,vladislav_vladislav.png,vladislav_lumir.png,aligned_same,False
5,17-test-trial-6,different,4.0,vladena_margita.png,margita_vladena.png,aligned_different,True
6,18-test-trial-7,different,5.5,dominik_hynek.png,hynek_dominik.png,misaligned_different,True
7,19-test-trial-8,same,3.4,saskie_milota.png,saskie_saskie.png,misaligned_same,True
8,20-test-trial-9,different,1.2000000000000002,aurel_cenek.png,cenek_aurel.png,aligned_different,True
9,21-test-trial-10,different,0.6000000000000001,zelmira_gabriela.png,gabriela_zelmira.png,misaligned_different,True
10,22-test-trial-11,same,1.2000000000000002,bernard_rehor.png,bernard_bernard.png,aligned_same,True
11,23-test-trial-12,same,2.4999999999999996,elena_eleanora.png,elena_elena.png,misaligned_same,True
12,24-test-trial-13,same,2.3000000000000003,miriama_livia.png,miriama_miriama.png,misaligned_same,True
13,25-test-trial-14,same,2.6,viktoria_perla.png,perla_viktoria.png,misaligned_different,False
14,26-test-trial-15,same,0.20000000000000018,vasil_vasil.png,vasil_justin.png,misaligned_same,True
15,27-test-trial-16,same,1.9999999999999996,livia_livia.png,livia_miriama.png,aligned_same,True
16,28-test-trial-17,same,0.10000000000000009,rehor_rehor.png,rehor_bernard.png,misaligned_same,True
17,29-test-trial-18,different,0.6999999999999997,justin_vasil.png,justin_justin.png,aligned_same,False
18,30-test-trial-19,same,0.6000000000000001,peggy_peggy.png,peggy_viola.png,misaligned_same,True
19,31-test-trial-20,different,4.6,maxim_maxim.png,maxim_josef.png,aligned_same,False
20,32-test-trial-21,same,0.2999999999999998,linda_jindriska.png,linda_linda.png,aligned_same,True
21,33-test-trial-22,different,5.199999999999999,bretislav_bystrik.png,bystrik_bretislav.png,misaligned_different,True
22,34-test-trial-23,same,1.9999999999999996,milota_milota.png,milota_saskie.png,aligned_same,True
23,35-test-trial-24,same,3.4999999999999996,tichomir_tichomir.png,tichomir_oleg.png,misaligned_same,True
24,36-test-trial-25,different,4.4,carol_brenda.png,brenda_carol.png,aligned_different,True
25,37-test-trial-26,same,1.6999999999999997,viola_peggy.png,viola_viola.png,aligned_same,True
26,38-test-trial-27,different,0.8999999999999999,andrej_drahomir.png,drahomir_andrej.png,misaligned_different,True
27,39-test-trial-28,different,0.10000000000000009,ursula_sidonia.png,sidonia_ursula.png,misaligned_different,True
28,40-test-trial-29,different,1.3000000000000003,ramiro_svatopluk.png,svatopluk_ramiro.png,aligned_different,True
29,41-test-trial-30,different,3.9000000000000004,tomasi_tomasi.png,tomasi_henrich.png,aligned_same,False
30,42-test-trial-31,different,4.6,josef_maxim.png,josef_josef.png,misaligned_same,False
31,43-test-trial-32,same,4.3,lumir_vladislav.png,lumir_lumir.png,misaligned_same,True
32,44-test-trial-33,same,1.2999999999999998,jindriska_jindriska.png,jindriska_linda.png,misaligned_same,True
33,45-test-trial-34,same,0.7000000000000002,edita_debra.png,edita_edita.png,misaligned_same,True
34,46-test-trial-35,same,2.9,debra_debra.png,debra_edita.png,aligned_same,True
35,47-test-trial-36,same,2.2,oleg_tichomir.png,oleg_oleg.png,aligned_same,True
